tf_id	scroll	book	chapter	verse	lex	g_cons	stem	pattern	pattern_g_cons	vs	vt	nu	gn	ps	sp	prs	nme	hloc	prefix	rec_signs	cor_signs	heb_g_cons
2051924	4Q88	Psalms	107	12	KN<[	JKN<	KN<			hif	wayq	sg	m	p3	verb				W	rrrr	nnnn	יכנע
2052037	4Q88	Psalms	107	25	<MD[	J<MD	<MD			hif	wayq	sg	m	p3	verb				W	rnnn	nnnn	יעמד
2052077	4Q88	Psalms	107	29	HPK[	JWPK	WPK			hif	wayq	sg	m	p3	verb				W	nnnn	nnnn	יופך
2051896	4Q88	Psalms	107	9	FB<[	HFBJ<	FBJ<			hif	perf	sg	m	p3	verb					rrrrr	nnnnn	השביע
2052191	4Q88	Psalms	109	6	PQD[	HPQD	PQD			hif	impv	sg	m	NA	verb					rrrr	nnnn	הפקד
2052133	4Q88	Psalms	107	38	M<V[	JM<JV	M<JV			hif	impf	sg	m	p3	verb					rrrrr	nnnnn	ימעיט
2051979	4Q88	Psalms	107	18	NG<[	JGJ<W	GJ<W			hif	wayq	pl	m	p3	verb				W	rrrrr	nnnnn	יגיעו
2051837	4Q88	Psalms	22	17	NQP[	HQJPNJ	QJP			hif	perf	pl		p3	verb	NJ				nnnnnn	nnnnnn	הקיפני
1696801	4Q249j	Leviticus	26	16	PQD[	HPQDTJ	PQD			hif	perf	sg		p1	verb				W	rnnnnr	nnnnnn	הפקדתי
2084099	11Q5	Psalms	119	6	NBV[	HBJVJ	BJV			hif	infc	NA		NA	verb	J			B	rrrrr	nnnnn	הביטי
2084049	11Q5	Psalms	132	18	LBC[	>LBJC	LBJC			hif	impf	sg		p1	verb					nnnnn	nnnnn	אלביש
2085692	11Q5	Psalms	145	16	FB<[	MFBJ<	FBJ<			hif	ptca	sg	m	NA	verb				W	nnnnn	nnnnn	משביע
2085778	11Q5	Psalms	145	20	CMD[	JCMJD	CMJD			hif	impf	sg	m	p3	verb					nnnnn	nnnnn	ישמיד
2084236	11Q5	Psalms	119	39	<BR[	H<BR	<BR			hif	impv	sg	m	NA	verb					nnnn	nnnn	העבר
2086513	11Q5	Psalms	143	8	CM<[	HCMJ<NJ	CMJ<			hif	impv	sg	m	NA	verb	NJ				rnrrrrn	nnnnnnn	השמיעני
2083685	11Q5	Psalms	126	2	GDL[	HGDJL	GDJL			hif	perf	sg	m	p3	verb					nnnnn	nnnnn	הגדיל
2084271	11Q5	Psalms	119	43	NYL[	TYL	YL			hif	impf	sg	m	p2	verb					nnn	nnn	תצל
2085542	11Q5	Psalms	145	4	NGD[	JGJDW	GJD			hif	impf	pl	m	p3	verb					nnnnn	nnnnn	יגידו
2082204	11Q5	Psalms	101	2	FKL[	>FKJLH	FKJL			hif	impf	sg		p1	verb					rrrrrr	nnnnnn	אשכילה
2086390	11Q5	Psalms	142	7	QCB[	HQCJBH	QCJB			hif	impv	sg	m	NA	verb	H				nnnnnn	nnnnnn	הקשיבה
2086396	11Q5	Psalms	142	7	NYL[	HYJLNJ	YJL			hif	impv	sg	m	NA	verb	NJ				nnnnnn	nnnnnn	הצילני
2084108	11Q5	Psalms	119	15	NBV[	>BJVH	BJV			hif	impf	sg		p1	verb				W	nnnnn	nnnnn	אביטה
2082800	11Q5	Psalms	104	32	NBV[	MBJV	BJV			hif	ptca	sg	m	NA	verb				H	rnnn	nnnn	מביט
2084140	11Q5	Psalms	119	19	STR[	TSTR	STR			hif	impf	sg	m	p2	verb					nnnn	nnnn	תסתר
2084786	11Q5	Psalms	119	133	CLV[	TCLV	CLV			hif	impf	sg	f	p3	verb					nnnn	nnnn	תשלט
2082427	11Q5	Psalms	102	27	XLP[	TXLJPM	XLJP			hif	impf	sg	m	p2	verb	M				rrrrrr	nnnnnn	תחליפם
2082866	11Q5	Psalms	147	18	NCB[	JCB	CB			hif	impf	sg	m	p3	verb					rrr	nnn	ישב
2084027	11Q5	Psalms	132	15	FB<[	>FBJ<	FBJ<			hif	impf	sg		p1	verb					nnnnn	nnnnn	אשביע
2085362	11Q5	Psalms	136	14	<BR[	H<BR	<BR			hif	perf	sg	m	p3	verb				W	nnnn	nnnn	העבר
2086425	11Q5	Psalms	143	1	>ZN[	H>ZJNH	>ZJN			hif	impv	sg	m	NA	verb	H				nnnnnn	nnnnnn	האזינה
2082983	11Q5	Psalms	105	10	<MD[	J<MJDH	<MJD			hif	wayq	sg	m	p3	verb	H			W	nnnnnn	nnnnnn	יעמידה
2083692	11Q5	Psalms	126	3	GDL[	HGDJL	GDJL			hif	perf	sg	m	p3	verb					rrrnn	nnnnn	הגדיל
2086412	11Q5	Psalms	142	8	KTR[	JKTJRW	KTJR			hif	impf	pl	m	p3	verb					nnnnnn	nnnnnn	יכתירו
2082871	11Q5	Psalms	147	19	NGD[	MGJD	GJD			hif	ptca	sg	m	NA	verb					rrrr	nnnn	מגיד
2085163	11Q5	Psalms	135	17	>ZN[	J>ZJNW	>ZJN			hif	impf	pl	m	p3	verb					nnnnnn	nnnnnn	יאזינו
2084032	11Q5	Psalms	132	16	LBC[	>LBJCH	LBJC			hif	impf	sg		p1	verb					nrrrnn	nnnnnn	אלבישה
2082341	11Q5	Psalms	102	20	CQP[	HCQJP	CQJP			hif	perf	sg	m	p3	verb					rrrrr	nnnnn	השקיף
2082351	11Q5	Psalms	102	20	NBV[	HBJV	BJV			hif	perf	sg	m	p3	verb					rrrr	nnnn	הביט
2086041	11Q5	Psalms	138	2	GDL[	HGDLTH	GDLTH			hif	perf	sg	m	p2	verb					nnnnnn	nnnnnn	הגדלתה
2084219	11Q5	Psalms	119	37	<BR[	H<BR	<BR			hif	impv	sg	m	NA	verb					nnnn	nnnn	העבר
2084988	11Q5	Psalms	119	171	NB<[	TB<NH	B<			hif	impf	pl	f	p3	verb					nnnnn	nnnnn	תבענה
2082287	11Q5	Psalms	101	8	YMT[	>YMJT	YMJT			hif	impf	sg		p1	verb					nrrrr	nnnnn	אצמית
2082292	11Q5	Psalms	101	8	KRT[	HKRJT	KRJT			hif	infc	NA		NA	verb				L	rrrrn	nnnnn	הכרית
