tf_id	scroll	book	chapter	verse	lex	g_cons	stem	pattern	pattern_g_cons	vs	vt	nu	gn	ps	sp	prs	nme	hloc	prefix	rec_signs	cor_signs	heb_g_cons
2083717	11Q5	Psalms	126	6	HLK[	HLWK	HLWK			qal	infa	NA		NA	verb					nnnn	nnnn	הלוך
2083720	11Q5	Psalms	126	6	BKH[	BKW	BKW			qal	infa	NA		NA	verb				W	nnn	nnn	בכו
2083725	11Q5	Psalms	126	6	BW>[	BW>	BW>			qal	infa	NA		NA	verb					rrr	nnn	בוא
2086635	11Q5	2_Samuel	23	7	FRP[	FRWPP	FRWPP			qal	infa	NA		NA	verb					nnnnn	nnnnn	שרופף
1890524	1Q2	Exodus	21	5	>MR[	>MR	>MR			qal	infa	NA		NA	verb					rrr	nnn	אמר
1891729	1Q4	Deuteronomy	14	21	MKR[	MKR	MKR			qal	infa	NA		NA	verb					rrr	nnn	מכר
1891327	1Q4	Deuteronomy	8	19	CKX[	CKX	CKX			qal	infa	NA		NA	verb					rrr	nnn	שכח
1891347	1Q4	Deuteronomy	8	19	>BD[	>BD	>BD			qal	infa	NA		NA	verb					nnr	nnn	אבד
1892627	1Q5	Deuteronomy	25	17	ZKR[	ZKWR	ZKWR			qal	infa	NA		NA	verb					rrrr	nnnn	זכור
1908482	1Qisaa	Isaiah	38	5	HLK[	HLWK	HLWK			qal	infa	NA		NA	verb					nnnn	nnnn	הלוך
1916668	1Qisaa	Isaiah	60	12	XRB[	XRWB	XRWB			qal	infa	NA		NA	verb					nnnn	nnnn	חרוב
1916112	1Qisaa	Isaiah	59	4	HRH[	HRWH	HRWH			qal	infa	NA		NA	verb					nnnn	nnnn	הרוה
1901864	1Qisaa	Isaiah	21	5	<RK[	<RWK	<RWK			qal	infa	NA		NA	verb					nnnn	nnnn	ערוך
1901870	1Qisaa	Isaiah	21	5	>KL[	>KWL	>KWL			qal	infa	NA		NA	verb					nnnn	nnnn	אכול
1901871	1Qisaa	Isaiah	21	5	CTH[	CTH	CTH			qal	infa	NA		NA	verb					nnn	nnn	שתה
1902359	1Qisaa	Isaiah	22	17	<VH=[	<VH	<VH			qal	infa	NA		NA	verb					nnn	nnn	עטה
1914865	1Qisaa	Isaiah	55	2	CM<[	CM<W>	CM<W>			qal	infa	NA		NA	verb					nnnnn	nnnnn	שמעוא
1917068	1Qisaa	Isaiah	61	10	FWF[	FJF	FJF			qal	infa	NA		NA	verb					nnn	nnn	שיש
1915874	1Qisaa	Isaiah	58	7	PRS[	PRWS	PRWS			qal	infa	NA		NA	verb					nnnn	nnnn	פרוס
1902275	1Qisaa	Isaiah	22	13	HRG[	HRG	HRG			qal	infa	NA		NA	verb					nnn	nnn	הרג
1902278	1Qisaa	Isaiah	22	13	CXV[	CXV	CXV			qal	infa	NA		NA	verb				W	nnn	nnn	שחט
1902280	1Qisaa	Isaiah	22	13	>KL[	>KWL	>KWL			qal	infa	NA		NA	verb					nnnn	nnnn	אכול
1902283	1Qisaa	Isaiah	22	13	CTH[	CTWT	CTWT			qal	infa	NA		NA	verb				W	nnnn	nnnn	שתות
1902285	1Qisaa	Isaiah	22	13	>KL[	>KWL	>KWL			qal	infa	NA		NA	verb					nnnn	nnnn	אכול
1902287	1Qisaa	Isaiah	22	13	CTH[	CTW	CTW			qal	infa	NA		NA	verb				W	nnn	nnn	שתו
1896346	1Qisaa	Isaiah	5	5	PRY[	PRY	PRY			qal	infa	NA		NA	verb					nnn	nnn	פרץ
1905354	1Qisaa	Isaiah	30	19	BKH[	BKW	BKW			qal	infa	NA		NA	verb					nnn	nnn	בכו
1905357	1Qisaa	Isaiah	30	19	XNN[	XNWN	XNWN			qal	infa	NA		NA	verb					nnnn	nnnn	חנון
1914782	1Qisaa	Isaiah	54	15	GWR=[	GWR	GWR			qal	infa	NA		NA	verb					nnn	nnn	גור
1903073	1Qisaa	Isaiah	24	19	R<H[	R<H	R<H			qal	infa	NA	f	NA	verb					nnn	nnn	רעה
1903077	1Qisaa	Isaiah	24	19	PRR=[	PWR	PWR			qal	infa	NA		NA	verb					nnn	nnn	פור
1903080	1Qisaa	Isaiah	24	19	MWV[	MWV	MWV			qal	infa	NA		NA	verb					nnn	nnn	מוט
1896988	1Qisaa	Isaiah	6	9	CM<[	CMW<	CMW<			qal	infa	NA		NA	verb					nnnn	nnnn	שמוע
1896993	1Qisaa	Isaiah	6	9	R>H[	R>W	R>W			qal	infa	NA		NA	verb					nnn	nnn	ראו
1895990	1Qisaa	Isaiah	3	16	HLK[	HLWK	HLWK			qal	infa	NA		NA	verb					nnnn	nnnn	הלוך
1897361	1Qisaa	Isaiah	7	15	M>S[	M>WS	M>WS			qal	infa	NA		NA	verb					nnnn	nnnn	מאוס
1897365	1Qisaa	Isaiah	7	15	BXR[	BXR	BXR			qal	infa	NA		NA	verb				W	nnn	nnn	בחר
1906878	1Qisaa	Isaiah	35	2	PRX[	PRX	PRX			qal	infa	NA		NA	verb					nnn	nnn	פרח
1908234	1Qisaa	Isaiah	37	30	NV<[	NVW<	NVW<			qal	infa	NA	m	NA	verb				W	nnnn	nnnn	נטוע
1912572	1Qisaa	Isaiah	48	8	BGD[	BGWD	BGWD			qal	infa	NA		NA	verb					nnnn	nnnn	בגוד
1901587	1Qisaa	Isaiah	19	22	NGP[	NGP	NGP			qal	infa	NA		NA	verb					nnn	nnn	נגף
1903084	1Qisaa	Isaiah	24	20	NW<[	NW<	NW<			qal	infa	NA		NA	verb					nnn	nnn	נוע
1902171	1Qisaa	Isaiah	22	7	CJT[	CT	CT			qal	infa	NA		NA	verb					nn	nn	שת
1916243	1Qisaa	Isaiah	59	11	HGH[	HGW>	HGW>			qal	infa	NA		NA	verb					nnnn	nnnn	הגוא
1897375	1Qisaa	Isaiah	7	16	M>S[	M>S	M>S			qal	infa	NA		NA	verb					nnn	nnn	מאס
1897379	1Qisaa	Isaiah	7	16	BXR[	BXWR	BXWR			qal	infa	NA		NA	verb				W	nnnn	nnnn	בחור
1901706	1Qisaa	Isaiah	20	2	HLK[	HLWK	HLWK			qal	infa	NA		NA	verb					nnnn	nnnn	הלוך
