tf_id	scroll	book	chapter	verse	lex	g_cons	stem	pattern	pattern_g_cons	vs	vt	nu	gn	ps	sp	prs	nme	hloc	prefix	rec_signs	cor_signs	heb_g_cons
1696786	4Q249j	Leviticus	26	15	<FH[	<FWT	<FWT			qal	infc	NA		NA	verb					rrnr	nnnn	עשות
2082354	11Q5	Psalms	102	21	CM<[	CM<	CM<			qal	infc	NA		NA	verb				L	rrr	nnn	שמע
2085106	11Q5	Psalms	135	6	<FH[	<FWT	<FWT			qal	infc	NA		NA	verb				L	nnnn	nnnn	עשות
2083665	11Q5	Psalms	126	1	CWB=[	CWB	CWB			qal	infc	NA		NA	verb				B	nnn	nnn	שוב
2086224	11Q5	Psalms	133	1	JCB[	CBT	CBT			qal	infc	NA		NA	verb					nnn	nnn	שבת
2082755	11Q5	Psalms	104	27	NTN[	TT	TT			qal	infc	NA		NA	verb				L	nn	nn	תת
2084662	11Q5	Psalms	119	112	<FH[	<FWT	<FWT			qal	infc	NA		NA	verb				L	nnnn	nnnn	עשות
2085007	11Q5	Psalms	119	173	<ZR[	<WZRNJ	<WZR			qal	infc	NA		NA	verb	NJ			L	nnnnnn	nnnnnn	עוזרני
2082994	11Q5	Psalms	105	11	>MR[	>MWR	>MWR			qal	infc	NA		NA	verb				L	nnnn	nnnn	אמור
2083688	11Q5	Psalms	126	2	<FH[	<FWT	<FWT			qal	infc	NA		NA	verb				L	nnnn	nnnn	עשות
2083452	11Q5	Psalms	121	8	JY>[	Y>TKH	Y>T			qal	infc	NA		NA	verb	KH				nnnnn	nnnnn	צאתכה
2083454	11Q5	Psalms	121	8	BW>[	BW>KH	BW>			qal	infc	NA		NA	verb	KH			W	nnnnn	nnnnn	בואכה
2084348	11Q5	Psalms	119	60	CMR[	CMWR	CMWR			qal	infc	NA		NA	verb				L	nnnn	nnnn	שמור
2086530	11Q5	Psalms	149	7	<FH[	<FWT	<FWT			qal	infc	NA		NA	verb				L	nnnn	nnnn	עשות
2086003	11Q5	Psalms	137	1	ZKR[	ZKRNW	ZKR			qal	infc	NA		NA	verb	NW			B	rrrrr	nnnnn	זכרנו
2082380	11Q5	Psalms	102	23	<BD[	<BD	<BD			qal	infc	NA		NA	verb				L	rrr	nnn	עבד
2082489	11Q5	Psalms	109	23	NVH[	NVWTW	NVWT			qal	infc	NA		NA	verb	W			K	rrrrr	nnnnn	נטותו
2083695	11Q5	Psalms	126	3	<FH[	<FWT	<FWT			qal	infc	NA		NA	verb				L	nnnn	nnnn	עשות
