tf_id	scroll	book	chapter	verse	lex	g_cons	stem	pattern	pattern_g_cons	vs	vt	nu	gn	ps	sp	prs	nme	hloc	prefix	rec_signs	cor_signs	heb_g_cons
2052105	4Q88	Psalms	107	36	JCB[	JCB	CB			hif	wayq	sg	m	p3	verb				W	nnn	nnn	ישב
2052029	4Q88	Psalms	107	24	JDH[	JWDW	WD			hif	impf	pl	m	p3	verb					nnnn	nnnn	יודו
2052074	4Q88	Psalms	107	28	JC<[	JCJ<M	CJ<			hif	wayq	sg	m	p3	verb	M			W	nnnnn	nnnnn	ישיעם
2051885	4Q88	Psalms	107	8	JDH[	JWDW	WD			hif	impf	pl	m	p3	verb					rrrr	nnnn	יודו
2051943	4Q88	Psalms	107	13	JC<[	JCJ<M	CJ<			hif	wayq	sg	m	p3	verb	M			W	nnnnn	nnnnn	ישיעם
2051946	4Q88	Psalms	107	14	JY>[	JWYJ>M	WYJ>			hif	wayq	sg	m	p3	verb	M			W	nnnnnn	nnnnnn	יוציאם
2051955	4Q88	Psalms	107	15	JDH[	HWDW	WD			hif	impv	pl	m	NA	verb					nrrr	nnnn	הודו
2051993	4Q88	Psalms	107	19	JC<[	JWCJ<M	WCJ<			hif	impf	sg	m	p3	verb	M				rrrrrr	nnnnnn	יושיעם
2083651	11Q5	Psalms	125	5	HLK[	JWLJKM	WLJK			hif	impf	sg	m	p3	verb	M				rrrrrr	nnnnnn	יוליכם
2085757	11Q5	Psalms	145	19	JC<[	JWCJ<M	WCJ<			hif	impf	sg	m	p3	verb	M			W	nnnnnn	nnnnnn	יושיעם
2086101	11Q5	Psalms	138	7	JC<[	TWCJ<NJ	WCJ<			hif	impf	sg	m	p2	verb	NJ			W	nnnnnnn	nnnnnnn	תושיעני
2085222	11Q5	Psalms	136	2	JDH[	HWDW	WD			hif	impv	pl	m	NA	verb					nnnn	nnnn	הודו
2083185	11Q5	Psalms	105	43	JY>[	JWY>	WY>			hif	wayq	sg	m	p3	verb				W	rrrr	nnnn	יוצא
