tf_id	scroll	book	chapter	verse	lex	g_cons	stem	pattern	pattern_g_cons	vs	vt	nu	gn	ps	sp	prs	nme	hloc	prefix	rec_signs	cor_signs	heb_g_cons
1654637	2Q29	Numbers	23	8	L>	LW>	LW>			NA	NA	NA		NA	nega					rrr	nnn	לוא
1654643	2Q29	Numbers	23	8	L>	LW>	LW>			NA	NA	NA		NA	nega					rrr	nnn	לוא
2052152	4Q88	Psalms	107	40	L>	L>	L>			NA	NA	NA		NA	nega					rr	nn	לא
2051965	4Q88	Psalms	107	16	KJ	KJ	KJ			NA	NA	NA		NA	conj					nn	nn	כי
2051875	4Q88	Psalms	107	4	L>	LW>	LW>			NA	NA	NA		NA	nega					nnn	nnn	לוא
2051832	4Q88	Psalms	22	17	KJ	KJ	KJ			NA	NA	NA		NA	conj					rr	nn	כי
2052230	4Q88	Psalms	109	27	KJ	KJ	KJ			NA	NA	NA		NA	conj					nn	nn	כי
2051895	4Q88	Psalms	107	9	KJ	KJ	KJ			NA	NA	NA		NA	conj					rr	nn	כי
2052132	4Q88	Psalms	107	38	L>	L>	L>			NA	NA	NA		NA	nega					rr	nn	לא
2085851	11Q5	Psalms	139	12	L>	LW>	LW>			NA	NA	NA		NA	nega					nnn	nnn	לוא
2086151	11Q5	Psalms	141	5	KJ	KJ	KJ			NA	NA	NA		NA	conj					nn	nn	כי
2085333	11Q5	Psalms	136	11	KJ	KJ	KJ			NA	NA	NA		NA	conj					nn	nn	כי
2083914	11Q5	Psalms	130	7	KJ	KJ	KJ			NA	NA	NA		NA	conj					rr	nn	כי
2085378	11Q5	Psalms	136	15	KJ	KJ	KJ			NA	NA	NA		NA	conj					rr	nn	כי
2085401	11Q5	Psalms	118	1	KJ	KJ	KJ			NA	NA	NA		NA	conj					nn	nn	כי
2085403	11Q5	Psalms	118	1	KJ	KJ	KJ			NA	NA	NA		NA	conj					nn	nn	כי
2083435	11Q5	Psalms	121	6	L>	LW>	LW>			NA	NA	NA		NA	nega					nnn	nnn	לוא
2083296	11Q5	Psalms	148	5	KJ	KJ	KJ			NA	NA	NA		NA	conj					rr	nn	כי
2083141	11Q5	Psalms	105	38	KJ	KJ	KJ			NA	NA	NA		NA	conj					nn	nn	כי
2084580	11Q5	Psalms	119	94	KJ	KJ	KJ			NA	NA	NA		NA	conj					nn	nn	כי
2083829	11Q5	Psalms	129	7	L>	LW>	LW>			NA	NA	NA		NA	nega				C	rrr	nnn	לוא
2083175	11Q5	Psalms	105	42	KJ	KJ	KJ			NA	NA	NA		NA	conj					rr	nn	כי
2085237	11Q5	Psalms	136	3	KJ	KJ	KJ			NA	NA	NA		NA	conj					nn	nn	כי
2085279	11Q5	Psalms	136	7	KJ	KJ	KJ			NA	NA	NA		NA	conj					nn	nn	כי
2084834	11Q5	Psalms	119	139	KJ	KJ	KJ			NA	NA	NA		NA	conj					nn	nn	כי
2084400	11Q5	Psalms	119	66	KJ	KJ	KJ			NA	NA	NA		NA	conj					nn	nn	כי
2082881	11Q5	Psalms	147	20	L>	LW>	LW>			NA	NA	NA		NA	nega					rrr	nnn	לוא
2085033	11Q5	Psalms	119	176	KJ	KJ	KJ			NA	NA	NA		NA	conj					nn	nn	כי
2085035	11Q5	Psalms	119	176	L>	LW>	LW>			NA	NA	NA		NA	nega					nnn	nnn	לוא
2084004	11Q5	Psalms	132	13	KJ	KJ	KJ			NA	NA	NA		NA	conj					nn	nn	כי
2084305	11Q5	Psalms	119	46	L>	LW>	LW>			NA	NA	NA		NA	nega				W	nnn	nnn	לוא
2082253	11Q5	Psalms	101	5	L>	LW>	LW>			NA	NA	NA		NA	nega					rrr	nnn	לוא
2083601	11Q5	Psalms	125	1	L>	LW>	LW>			NA	NA	NA		NA	nega				C	nnn	nnn	לוא
2085864	11Q5	Psalms	139	13	KJ	KJ	KJ			NA	NA	NA		NA	conj					nn	nn	כי
2086166	11Q5	Psalms	141	6	KJ	KJ	KJ			NA	NA	NA		NA	conj					nn	nn	כי
2084654	11Q5	Psalms	119	111	KJ	KJ	KJ			NA	NA	NA		NA	conj					nn	nn	כי
2082303	11Q5	Psalms	102	1	KJ	KJ	KJ			NA	NA	NA		NA	conj					nn	nn	כי
2085109	11Q5	Psalms	135	6	KJ	KJH	KJH			NA	NA	NA		NA	conj					nnn	nnn	כיה
2084555	11Q5	Psalms	119	91	KJ	KJ	KJ			NA	NA	NA		NA	conj					nn	nn	כי
2082470	11Q5	Psalms	109	21	KJ	KJ	KJ			NA	NA	NA		NA	conj					nn	nn	כי
2085954	11Q5	Psalms	139	21	L>	LW>	LW>			NA	NA	NA		NA	nega				H	nnn	nnn	לוא
2084999	11Q5	Psalms	119	172	KJ	KJ	KJ			NA	NA	NA		NA	conj					nn	nn	כי
2083311	11Q5	Psalms	148	6	L>	LW>	LW>			NA	NA	NA		NA	nega				W	rrr	nnn	לוא
2084264	11Q5	Psalms	119	42	KJ	KJ	KJ			NA	NA	NA		NA	conj					nn	nn	כי
2083838	11Q5	Psalms	129	8	L>	LW>	LW>			NA	NA	NA		NA	nega				C	nnn	nnn	לוא
2084880	11Q5	Psalms	119	152	KJ	KJ	KJ			NA	NA	NA		NA	conj					nn	nn	כי
2084168	11Q5	Psalms	119	22	KJ	KJ	KJ			NA	NA	NA		NA	conj					nn	nn	כי
2085247	11Q5	Psalms	136	4	KJ	KJ	KJ			NA	NA	NA		NA	conj					nn	nn	כי
2085291	11Q5	Psalms	136	8	KJ	KJ	KJ			NA	NA	NA		NA	conj					nn	nn	כי
2085301	11Q5	Psalms	136	8	KJ	KJ	KJ			NA	NA	NA		NA	conj					nn	nn	כי
2084813	11Q5	Psalms	119	136	KJ	KJ	KJ			NA	NA	NA		NA	conj					nn	nn	כי
2084814	11Q5	Psalms	119	136	L>	LW>	LW>			NA	NA	NA		NA	nega					nnn	nnn	לוא
2083883	11Q5	Psalms	130	4	KJ	KJ	KJ			NA	NA	NA		NA	conj					nn	nn	כי
2084477	11Q5	Psalms	119	83	KJ	KJ	KJ			NA	NA	NA		NA	conj					nn	nn	כי
2084484	11Q5	Psalms	119	83	L>	LW>	LW>			NA	NA	NA		NA	nega					nnn	nnn	לוא
2085345	11Q5	Psalms	136	12	KJ	KJ	KJ			NA	NA	NA		NA	conj					nn	nn	כי
2084096	11Q5	Psalms	119	6	L>	L>	L>			NA	NA	NA		NA	nega					nr	nn	לא
