tf_id	scroll	book	chapter	verse	lex	g_cons	stem	pattern	pattern_g_cons	vs	vt	nu	gn	ps	sp	prs	nme	hloc	prefix	rec_signs	cor_signs	heb_g_cons
2051901	4Q88	Psalms	107	9	CQQ[	CQQH	CQQH			qal	ptca	sg		NA	verb					rnnn	nnnn	שקקה
2052195	4Q88	Psalms	109	6	FVN[	FWVN	FWVN			qal	ptca	sg	m	NA	verb				W	nnnr	nnnn	שוטן
2051844	4Q88	Psalms	107	2	G>L[	G>WLJ	G>WL			qal	ptcp	pl	m	NA	verb		J			nnrrr	nnnnn	גאולי
2051905	4Q88	Psalms	107	10	JCB[	JCBJ	JCB			qal	ptca	pl	m	NA	verb		J			rrnn	nnnn	ישבי
2051830	4Q88	Psalms	22	16	CPV[	CWPV	CWPV			qal	ptca	sg		NA	verb					nnnn	nnnn	שופט
2052014	4Q88	Psalms	107	23	JRD[	JWRDJ	JWRD			qal	ptca	pl	m	NA	verb		J			rrrrr	nnnnn	יורדי
2052019	4Q88	Psalms	107	23	<FH[	<FJ	<F			qal	ptca	pl	m	NA	verb		J			rrr	nnn	עשי
2052144	4Q88	Psalms	107	40	CPK[	CPK	CPK			qal	ptca	sg	m	NA	verb					rrr	nnn	שפך
2051931	4Q88	Psalms	107	12	<ZR[	<ZR	<ZR			qal	ptca	sg	m	NA	verb					rrr	nnn	עזר
2051798	4Q88	Psalms	22	14	VRP[	VRP	VRP			qal	ptca	sg	m	NA	verb					rrr	nnn	טרף
2051800	4Q88	Psalms	22	14	C>G[	C>G	C>G			qal	ptca	sg	m	NA	verb				W	rrr	nnn	שאג
2071919	4Q483	Genesis	1	29	ZR<[	ZWR<	ZWR<			qal	ptca	sg	m	NA	verb					rrrr	nnnn	זורע
1802330	4Q483	Genesis	1	28	RMF[	RWMFT	RWMFT			qal	ptca	sg	f	NA	verb				H	rrrrr	nnnnn	רומשת
2086170	11Q5	Psalms	141	7	PLX[	PLX	PLX			qal	ptca	sg	m	NA	verb					nnn	nnn	פלח
2086172	11Q5	Psalms	141	7	BQ<[	BQ<	BQ<			qal	ptca	sg	m	NA	verb				W	nnn	nnn	בקע
2084710	11Q5	Psalms	119	118	CGH[	CWGJM	CWG			qal	ptca	pl	m	NA	verb		JM			nnnnn	nnnnn	שוגים
2082593	11Q5	Psalms	118	27	>SR[	>SWRJ	>SWR			qal	ptcp	pl	m	NA	verb		J			nnnnn	nnnnn	אסורי
2083816	11Q5	Psalms	129	5	FN>[	FN>J	FN>			qal	ptca	pl	m	NA	verb		J			rnnn	nnnn	שנאי
2083135	11Q5	Psalms	105	37	KCL[	KWCL	KWCL			qal	ptca	sg	m	NA	verb					rrrr	nnnn	כושל
2083554	11Q5	Psalms	123	1	JCB[	JWCB	JWCB			qal	ptca	sg	m	NA	verb				H	nnnn	nnnn	יושב
2082649	11Q5	Psalms	104	3	FJM[	FM	FM			qal	ptca	sg	m	NA	verb				H	nn	nn	שם
2086709	11Q5	Psalms	134	3	<FH[	<WFH	<WFH			qal	ptca	sg	m	NA	verb					nnnn	nnnn	עושה
2083365	11Q5	Psalms	148	11	CPV[	CWPVJ	CWPV			qal	ptca	pl	m	NA	verb		J			rrrrr	nnnnn	שופטי
2083721	11Q5	Psalms	126	6	NF>[	NWF>J	NWF>			qal	ptca	pl	m	NA	verb		J			nnnnn	nnnnn	נושאי
2083729	11Q5	Psalms	126	6	NF>[	NWF>J	NWF>			qal	ptca	pl	m	NA	verb		J			nnnnn	nnnnn	נושאי
2082263	11Q5	Psalms	101	6	HLK[	HLK	HLK			qal	ptca	sg	m	NA	verb					nrr	nnn	הלך
2086398	11Q5	Psalms	142	7	RDP[	RWDPJ	RWDP			qal	ptca	pl	m	NA	verb		J		M	nnnnn	nnnnn	רודפי
2085417	11Q5	Psalms	118	15	<FH[	<FH	<FH			qal	ptca	sg	f	NA	verb					nnn	nnn	עשה
2085643	11Q5	Psalms	145	14	SMK[	SWMK	SWMK			qal	ptca	sg	m	NA	verb					nnnn	nnnn	סומך
2085648	11Q5	Psalms	145	14	NPL[	NWPLJM	NWPL			qal	ptca	pl	m	NA	verb		JM		H	nnnnnn	nnnnnn	נופלים
2085650	11Q5	Psalms	145	14	ZQP[	ZWQP	ZWQP			qal	ptca	sg	m	NA	verb				W	nnnn	nnnn	זוקף
2085654	11Q5	Psalms	145	14	KPP[	KPWPJM	KPWP			qal	ptcp	pl	m	NA	verb		JM		H	nnnnnn	nnnnnn	כפופים
2085655	11Q5	Psalms	145	14	BRK[	BRWK	BRWK			qal	ptcp	sg		NA	verb					nnnn	nnnn	ברוך
2085658	11Q5	Psalms	145	14	BRK[	BRWK	BRWK			qal	ptcp	sg		NA	verb				W	nnnn	nnnn	ברוך
2086236	11Q5	Psalms	133	2	JRD[	JWRD	JWRD			qal	ptca	sg	m	NA	verb					nnnn	nnnn	יורד
2086243	11Q5	Psalms	133	2	JRD[	JRD	JRD			qal	ptca	sg	m	NA	verb				C	nnn	nnn	ירד
2083468	11Q5	Psalms	122	1	>MR[	>WMRJM	>WMR			qal	ptca	pl	m	NA	verb		JM		B	rrrrrr	nnnnnn	אומרים
2085730	11Q5	Psalms	145	18	BRK[	BRWK	BRWK			qal	ptcp	sg		NA	verb				W	nnnn	nnnn	ברוך
2085739	11Q5	Psalms	145	18	BRK[	BRWK	BRWK			qal	ptcp	sg		NA	verb					nnnn	nnnn	ברוך
2085742	11Q5	Psalms	145	18	BRK[	BRWK	BRWK			qal	ptcp	sg		NA	verb				W	nnnn	nnnn	ברוך
2085883	11Q5	Psalms	139	14	JD<[	JD<T	JD<T			qal	ptca	sg	f	NA	verb					nnnn	nnnn	ידעת
2085351	11Q5	Psalms	136	13	GZR[	GWZR	GWZR			qal	ptca	sg	m	NA	verb				L	nnnn	nnnn	גוזר
2086078	11Q5	Psalms	138	6	RWM[	RM	RM			qal	ptca	sg	m	NA	verb					nn	nn	רם
2083419	11Q5	Psalms	121	4	CMR[	CWMR	CWMR			qal	ptca	sg	m	NA	verb					rrrr	nnnn	שומר
2085496	11Q5	Psalms	145	2	BRK[	BRWK	BRWK			qal	ptcp	sg		NA	verb					nnnn	nnnn	ברוך
2085506	11Q5	Psalms	145	2	BRK[	BRWK	BRWK			qal	ptcp	sg		NA	verb					nnnn	nnnn	ברוך
2085509	11Q5	Psalms	145	2	BRK[	BRWK	BRWK			qal	ptcp	sg		NA	verb				W	nnnn	nnnn	ברוך
2085577	11Q5	Psalms	145	6	BRK[	BRWK	BRWK			qal	ptcp	sg		NA	verb					nnnn	nnnn	ברוך
2085580	11Q5	Psalms	145	6	BRK[	BRWK	BRWK			qal	ptcp	sg		NA	verb				W	rrrr	nnnn	ברוך
2084156	11Q5	Psalms	119	21	>RR[	>RWRJM	>RWR			qal	ptcp	pl	m	NA	verb		JM			nnnnnn	nnnnnn	ארורים
2084158	11Q5	Psalms	119	21	CGH[	CWGJM	CWG			qal	ptca	pl	m	NA	verb		JM		H	nnnnn	nnnnn	שוגים
2085253	11Q5	Psalms	136	5	<FH[	<WFH	<WFH			qal	ptca	sg	m	NA	verb				L	nnnn	nnnn	עושה
2082658	11Q5	Psalms	104	4	<FH[	<WFH	<WFH			qal	ptca	sg	m	NA	verb					rrrr	nnnn	עושה
2082663	11Q5	Psalms	104	4	LHV[	LWHVT	LWHVT			qal	ptca	sg	f	NA	verb					nnnnn	nnnnn	לוהטת
2086269	11Q5	Psalms	144	1	BRK[	BRWK	BRWK			qal	ptcp	sg	m	NA	verb					nnnn	nnnn	ברוך
2082859	11Q5	Psalms	147	2	BNH[	BWNH	BWNH			qal	ptca	sg	m	NA	verb					nnnn	nnnn	בונה
2082275	11Q5	Psalms	101	7	<FH[	<FH	<FH			qal	ptca	sg	m	NA	verb					rrr	nnn	עשה
2082277	11Q5	Psalms	101	7	DBR[	DBR	DBR			qal	ptca	sg	m	NA	verb					rrr	nnn	דבר
2084060	11Q5	Psalms	119	1	HLK[	HWLKJM	HWLK			qal	ptca	pl	m	NA	verb		JM		H	nnnnnn	nnnnnn	הולכים
2083474	11Q5	Psalms	122	2	<MD[	<WMDWT	<WMD			qal	ptca	pl	f	NA	verb		WT			nnnnnn	nnnnnn	עומדות
2085758	11Q5	Psalms	145	19	BRK[	BRWK	BRWK			qal	ptcp	sg		NA	verb					nnnn	nnnn	ברוך
2085761	11Q5	Psalms	145	19	BRK[	BRWK	BRWK			qal	ptcp	sg		NA	verb				W	nnnn	nnnn	ברוך
2083519	11Q5	Psalms	122	6	>HB[	>WHBJK	>WHB			qal	ptca	pl	m	NA	verb	K	J			rnnnnn	nnnnnn	אוהביך
2084262	11Q5	Psalms	119	42	XRP[	XWRPJ	XWRP			qal	ptca	sg	m	NA	verb	J				nnnnn	nnnnn	חורפי
2085030	11Q5	Psalms	119	176	>BD[	>WBD	>WBD			qal	ptca	sg	m	NA	verb					nnnn	nnnn	אובד
2083333	11Q5	Psalms	148	8	<FH[	<WFH	<WFH			qal	ptca	sg	f	NA	verb					nnnn	nnnn	עושה
2085264	11Q5	Psalms	136	6	RQ<[	RWQ<	RWQ<			qal	ptca	sg	m	NA	verb				L	nnnn	nnnn	רוקע
2085671	11Q5	Psalms	145	15	NTN[	NWTN	NWTN			qal	ptca	sg	m	NA	verb					nnnn	nnnn	נותן
2085677	11Q5	Psalms	145	15	BRK[	BRWK	BRWK			qal	ptcp	sg		NA	verb					nnnn	nnnn	ברוך
2085680	11Q5	Psalms	145	15	BRK[	BRWK	BRWK			qal	ptcp	sg		NA	verb				W	nnnn	nnnn	ברוך
2086252	11Q5	Psalms	133	3	JRD[	JWRD	JWRD			qal	ptca	sg	m	NA	verb				C	nnnn	nnnn	יורד
2084839	11Q5	Psalms	119	140	YRP[	YRWPH	YRWPH			qal	ptcp	sg	f	NA	verb					nnnnn	nnnnn	צרופה
