tf_id	scroll	book	chapter	verse	lex	g_cons	stem	pattern	pattern_g_cons	vs	vt	nu	gn	ps	sp	prs	nme	hloc	prefix	rec_signs	cor_signs	heb_g_cons
472241	SP	Leviticus	22	9	L>	L>	L>				NA			NA	nega				W	nn	nn	לא
472248	SP	Leviticus	22	9	KJ	KJ	KJ				NA			NA	conj					nn	nn	כי
505895	SP	Deuteronomy	9	3	KJ	KJ	KJ				NA			NA	conj					nn	nn	כי
494254	SP	Numbers	27	3	L>	L>	L>				NA			NA	nega					nn	nn	לא
494267	SP	Numbers	27	3	KJ	KJ	KJ				NA			NA	conj					nn	nn	כי
494274	SP	Numbers	27	3	L>	L>	L>				NA			NA	nega					nn	nn	לא
514077	SP	Deuteronomy	24	14	L>	L>	L>				NA			NA	nega					nn	nn	לא
471706	SP	Leviticus	21	1	L>	L>	L>				NA			NA	nega					nn	nn	לא
423801	SP	Genesis	33	8	MJ	MJ	MJ				NA			NA	prin					nn	nn	מי
470656	SP	Leviticus	19	8	KJ	KJ	KJ				NA			NA	conj					nn	nn	כי
520205	SP	Deuteronomy	34	7	L>	L>	L>				NA			NA	nega					nn	nn	לא
520209	SP	Deuteronomy	34	7	L>	L>	L>				NA			NA	nega				W	nn	nn	לא
513449	SP	Deuteronomy	23	6	L>	L>	L>				NA			NA	nega				W	nn	nn	לא
513467	SP	Deuteronomy	23	6	KJ	KJ	KJ				NA			NA	conj					nn	nn	כי
439028	SP	Exodus	9	5	KJ	KJ	KJ				NA			NA	conj					nn	nn	כי
439075	SP	Exodus	9	5	L>	L>	L>				NA			NA	nega				W	nn	nn	לא
496509	SP	Numbers	31	18	L>	L>	L>				NA			NA	nega					nn	nn	לא
516056	SP	Deuteronomy	28	29	L>	L>	L>				NA			NA	nega				W	nn	nn	לא
414660	SP	Genesis	19	33	L>	L>	L>				NA			NA	nega				W	nn	nn	לא
511115	SP	Deuteronomy	18	10	L>	L>	L>				NA			NA	nega					nn	nn	לא
454853	SP	Exodus	34	9	KJ	KJ	KJ				NA			NA	conj					nn	nn	כי
490970	SP	Numbers	21	28	KJ	KJ	KJ				NA			NA	conj					nn	nn	כי
465816	SP	Leviticus	13	4	L>	L>	L>				NA			NA	nega					nn	nn	לא
426128	SP	Genesis	37	21	L>	L>	L>				NA			NA	nega					nn	nn	לא
473029	SP	Leviticus	23	21	L>	L>	L>				NA			NA	nega					nn	nn	לא
509662	SP	Deuteronomy	15	9	L>	L>	L>				NA			NA	nega				W	nn	nn	לא
434437	SP	Exodus	1	8	L>	L>	L>				NA			NA	nega					nn	nn	לא
438820	SP	Exodus	8	24	L>	L>	L>				NA			NA	nega					nn	nn	לא
408246	SP	Genesis	6	13	KJ	KJ	KJ				NA			NA	conj					nn	nn	כי
416683	SP	Genesis	24	3	L>	L>	L>				NA			NA	nega					nn	nn	לא
492338	SP	Numbers	23	21	L>	L>	L>				NA			NA	nega					nn	nn	לא
492344	SP	Numbers	23	21	L>	L>	L>				NA			NA	nega				W	nn	nn	לא
499798	SP	Numbers	35	31	L>	L>	L>				NA			NA	nega				W	nn	nn	לא
499809	SP	Numbers	35	31	KJ	KJ	KJ				NA			NA	conj					nn	nn	כי
472301	SP	Leviticus	22	13	KJ	KJ	KJ				NA			NA	conj					nn	nn	כי
472324	SP	Leviticus	22	13	L>	L>	L>				NA			NA	nega					nn	nn	לא
508964	SP	Deuteronomy	14	1	L>	L>	L>				NA			NA	nega					nn	nn	לא
508967	SP	Deuteronomy	14	1	L>	L>	L>				NA			NA	nega				W	nn	nn	לא
432062	SP	Genesis	46	30	KJ	KJ	KJ				NA			NA	conj					nn	nn	כי
428603	SP	Genesis	41	36	L>	L>	L>				NA			NA	nega				W	nn	nn	לא
510441	SP	Deuteronomy	17	2	KJ	KJ	KJ				NA			NA	conj					nn	nn	כי
507943	SP	Deuteronomy	12	8	L>	L>	L>				NA			NA	nega					nn	nn	לא
491387	SP	Numbers	22	13	KJ	KJ	KJ				NA			NA	conj					nn	nn	כי
443398	SP	Exodus	15	11	MJ	MJ	MJ				NA			NA	prin					nn	nn	מי
443403	SP	Exodus	15	11	MJ	MJ	MJ				NA			NA	prin					nn	nn	מי
514150	SP	Deuteronomy	24	18	KJ	KJ	KJ				NA			NA	conj					nn	nn	כי
433450	SP	Genesis	49	7	KJ	KJ	KJ				NA			NA	conj					nn	nn	כי
433454	SP	Genesis	49	7	KJ	KJ	KJ				NA			NA	conj					nn	nn	כי
441887	SP	Exodus	12	39	KJ	KJ	KJ				NA			NA	conj					nn	nn	כי
441888	SP	Exodus	12	39	L>	L>	L>				NA			NA	nega					nn	nn	לא
441890	SP	Exodus	12	39	KJ	KJ	KJ				NA			NA	conj					nn	nn	כי
441894	SP	Exodus	12	39	L>	L>	L>				NA			NA	nega				W	nn	nn	לא
441901	SP	Exodus	12	39	L>	L>	L>				NA			NA	nega					nn	nn	לא
497862	SP	Numbers	32	30	L>	L>	L>				NA			NA	nega					nn	nn	לא
470717	SP	Leviticus	19	12	L>	L>	L>				NA			NA	nega				W	nn	nn	לא
444232	SP	Exodus	16	25	KJ	KJ	KJ				NA			NA	conj					nn	nn	כי
444240	SP	Exodus	16	25	L>	L>	L>				NA			NA	nega					nn	nn	לא
465362	SP	Leviticus	11	39	KJ	KJ	KJ				NA			NA	conj				W	nn	nn	כי
429804	SP	Genesis	43	5	L>	L>	L>				NA			NA	nega					nn	nn	לא
429806	SP	Genesis	43	5	KJ	KJ	KJ				NA			NA	conj					nn	nn	כי
429811	SP	Genesis	43	5	L>	L>	L>				NA			NA	nega					nn	nn	לא
502484	SP	Deuteronomy	3	27	KJ	KJ	KJ				NA			NA	conj					nn	nn	כי
502485	SP	Deuteronomy	3	27	L>	L>	L>				NA			NA	nega					nn	nn	לא
489181	SP	Numbers	19	12	L>	L>	L>				NA			NA	nega					nn	nn	לא
489192	SP	Numbers	19	12	L>	L>	L>				NA			NA	nega					nn	nn	לא
512608	SP	Deuteronomy	21	17	KJ	KJ	KJ				NA			NA	conj					nn	nn	כי
512626	SP	Deuteronomy	21	17	KJ	KJ	KJ				NA			NA	conj					nn	nn	כי
420349	SP	Genesis	28	16	L>	L>	L>				NA			NA	nega					nn	nn	לא
516143	SP	Deuteronomy	28	33	L>	L>	L>				NA			NA	nega					nn	nn	לא
454961	SP	Exodus	34	13	KJ	KJ	KJ				NA			NA	conj					nn	nn	כי
451453	SP	Exodus	28	35	L>	L>	L>				NA			NA	nega				W	nn	nn	לא
423613	SP	Genesis	32	31	KJ	KJ	KJ				NA			NA	conj					nn	nn	כי
473096	SP	Leviticus	23	25	L>	L>	L>				NA			NA	nega					nn	nn	לא
509753	SP	Deuteronomy	15	13	KJ	KJ	KJ				NA			NA	conj				W	nn	nn	כי
509758	SP	Deuteronomy	15	13	L>	L>	L>				NA			NA	nega					nn	nn	לא
474665	SP	Leviticus	25	47	KJ	KJ	KJ				NA			NA	conj				W	nn	nn	כי
507013	SP	Deuteronomy	10	19	KJ	KJ	KJ				NA			NA	conj					nn	nn	כי
513358	SP	Deuteronomy	22	29	L>	L>	L>				NA			NA	nega					nn	nn	לא
438909	SP	Exodus	8	28	L>	L>	L>				NA			NA	nega				W	nn	nn	לא
432548	SP	Genesis	47	18	L>	L>	L>				NA			NA	nega					nn	nn	לא
432552	SP	Genesis	47	18	KJ	KJ	KJ				NA			NA	conj					nn	nn	כי
432563	SP	Genesis	47	18	L>	L>	L>				NA			NA	nega					nn	nn	לא
492410	SP	Numbers	23	25	L>	L>	L>				NA			NA	nega					nn	nn	לא
492415	SP	Numbers	23	25	L>	L>	L>				NA			NA	nega					nn	nn	לא
488906	SP	Numbers	18	31	KJ	KJ	KJ				NA			NA	conj					nn	nn	כי
419049	SP	Genesis	26	29	L>	L>	L>				NA			NA	nega					nn	nn	לא
464388	SP	Leviticus	10	7	L>	L>	L>				NA			NA	nega					nn	nn	לא
464392	SP	Leviticus	10	7	KJ	KJ	KJ				NA			NA	conj					nn	nn	כי
407490	SP	Genesis	4	24	KJ	KJ	KJ				NA			NA	conj					nn	nn	כי
510562	SP	Deuteronomy	17	6	L>	L>	L>				NA			NA	nega					nn	nn	לא
483003	SP	Numbers	10	7	L>	L>	L>				NA			NA	nega				W	nn	nn	לא
435318	SP	Exodus	3	5	KJ	KJ	KJ				NA			NA	conj					nn	nn	כי
508060	SP	Deuteronomy	12	12	KJ	KJ	KJ				NA			NA	conj					nn	nn	כי
491438	SP	Numbers	22	17	KJ	KJ	KJ				NA			NA	conj					nn	nn	כי
441989	SP	Exodus	12	43	L>	L>	L>				NA			NA	nega					nn	nn	לא
490131	SP	Numbers	20	24	KJ	KJ	KJ				NA			NA	conj					nn	nn	כי
490132	SP	Numbers	20	24	L>	L>	L>				NA			NA	nega					nn	nn	לא
470779	SP	Leviticus	19	16	L>	L>	L>				NA			NA	nega					nn	nn	לא
470785	SP	Leviticus	19	16	L>	L>	L>				NA			NA	nega				W	nn	nn	לא
512847	SP	Deuteronomy	22	5	L>	L>	L>				NA			NA	nega					nn	nn	לא
512854	SP	Deuteronomy	22	5	L>	L>	L>				NA			NA	nega				W	nn	nn	לא
512859	SP	Deuteronomy	22	5	KJ	KJ	KJ				NA			NA	conj					nn	nn	כי
411534	SP	Genesis	13	9	L>	LW>	LW>				NA			NA	nega				H	nnn	nnn	לוא
436175	SP	Exodus	4	19	KJ	KJ	KJ				NA			NA	conj					nn	nn	כי
429899	SP	Genesis	43	9	L>	L>	L>				NA			NA	nega					nn	nn	לא
412751	SP	Genesis	16	10	L>	L>	L>				NA			NA	nega				W	nn	nn	לא
421939	SP	Genesis	30	42	L>	L>	L>				NA			NA	nega					nn	nn	לא
447610	SP	Exodus	22	7	L>	L>	L>				NA			NA	nega					nn	nn	לא
447623	SP	Exodus	22	7	L>	L>	L>				NA			NA	nega					nn	nn	לא
437085	SP	Exodus	6	12	L>	L>	L>				NA			NA	nega					nn	nn	לא
459389	SP	Leviticus	1	2	KJ	KJ	KJ				NA			NA	conj					nn	nn	כי
507743	SP	Deuteronomy	11	31	KJ	KJ	KJ				NA			NA	conj					nn	nn	כי
473157	SP	Leviticus	23	29	KJ	KJ	KJ				NA			NA	conj					nn	nn	כי
473162	SP	Leviticus	23	29	L>	L>	L>				NA			NA	nega					nn	nn	לא
432652	SP	Genesis	47	22	L>	L>	L>				NA			NA	nega					nn	nn	לא
432654	SP	Genesis	47	22	KJ	KJ	KJ				NA			NA	conj					nn	nn	כי
432671	SP	Genesis	47	22	L>	L>	L>				NA			NA	nega					nn	nn	לא
483926	SP	Numbers	11	19	L>	L>	L>				NA			NA	nega					nn	nn	לא
483931	SP	Numbers	11	19	L>	L>	L>				NA			NA	nega				W	nn	nn	לא
483934	SP	Numbers	11	19	L>	L>	L>				NA			NA	nega				W	nn	nn	לא
483938	SP	Numbers	11	19	L>	L>	L>				NA			NA	nega				W	nn	nn	לא
