tf_id	scroll	book	chapter	verse	lex	g_cons	stem	pattern	pattern_g_cons	vs	vt	nu	gn	ps	sp	prs	nme	hloc	prefix	rec_signs	cor_signs	heb_g_cons
483391	SP	Numbers	10	29	XTN[	XTN	XTN				ptca	sg		unknown	verb					nnn	nnn	חתן
483393	SP	Numbers	10	29	NS<[	NS<JM	NS<				ptca	pl		unknown	verb		JM			nnnnn	nnnnn	נסעים
434614	SP	Exodus	1	18	JLD[	MJLDWT	JLD				ptca	pl		unknown	verb		WT		L	nnnnnn	nnnnnn	מילדות
406262	SP	Genesis	2	9	XMD[	NXMD	XMD				ptca	sg		unknown	verb					nnnn	nnnn	נחמד
423196	SP	Genesis	32	9	C>R[	NC>R	C>R				ptca	sg		unknown	verb				H	nnnn	nnnn	נשאר
409876	SP	Genesis	9	25	>RR[	>RWR	>RWR				ptcp	sg		unknown	verb					nnnn	nnnn	ארור
472146	SP	Leviticus	22	4	YR<[	YRW<	YRW<				ptcp	sg		unknown	verb					nnnn	nnnn	צרוע
472148	SP	Leviticus	22	4	ZWB[	ZB	ZB				ptca	sg		unknown	verb					nn	nn	זב
472158	SP	Leviticus	22	4	NG<[	NG<	NG<				ptca	sg		unknown	verb				WH	nnn	nnn	נגע
469983	SP	Leviticus	17	10	>KL[	>KLT	>KL				ptca	sg		unknown	verb		T		H	nnnn	nnnn	אכלת
489241	SP	Numbers	19	14	BW>[	B>	B>				ptca	sg		unknown	verb				H	nn	nn	בא
491417	SP	Numbers	22	15	KBD[	NKBDJM	KBD				ptca	pl		unknown	verb		JM		W	nnnnnn	nnnnnn	נכבדים
442173	SP	Exodus	13	4	JY>[	JWY>JM	JWY>				ptca	pl		unknown	verb		JM			nnnnnn	nnnnnn	יוצאים
407120	SP	Genesis	4	2	R<H[	R<J	R<J				ptca	sg		unknown	verb					nnn	nnn	רעי
407125	SP	Genesis	4	2	<BD[	<BD	<BD				ptca	sg		unknown	verb					nnn	nnn	עבד
428249	SP	Genesis	41	18	<LH[	<LWT	<L				ptca	pl		unknown	verb		WT			nnnn	nnnn	עלות
504883	SP	Deuteronomy	7	1	BW>[	B>	B>				ptca	sg		unknown	verb					nn	nn	בא
487231	SP	Numbers	16	13	ZWB[	ZBT	ZB				ptca	sg		unknown	verb		T			nnn	nnn	זבת
464783	SP	Leviticus	11	6	<LH[	M<LT	<L				ptca	sg		unknown	verb		T			nnnn	nnnn	מעלת
476573	SP	Numbers	1	24	JY>[	JY>	JY>				ptca	sg		unknown	verb					nnn	nnn	יצא
457436	SP	Exodus	38	8	YB>[	YB>WT	YB>				ptca	pl		unknown	verb		WT		H	nnnnn	nnnnn	צבאות
478334	SP	Numbers	3	46	<DP[	<DPJM	<DP				ptca	pl		unknown	verb		JM		H	nnnnn	nnnnn	עדפים
409291	SP	Genesis	8	17	RMF[	RMF	RMF				ptca	sg		unknown	verb				H	nnn	nnn	רמש
472060	SP	Leviticus	21	23	QDC[	MQDCM	QDC				ptca	sg		unknown	verb	M				nnnnn	nnnnn	מקדשם
469631	SP	Leviticus	16	29	GWR[	GR	GR				ptca	sg		unknown	verb				H	nn	nn	גר
488366	SP	Numbers	18	6	NTN[	NTNJM	NTN				ptcp	pl		unknown	verb		JM			nnnnn	nnnnn	נתנים
416330	SP	Genesis	23	4	MWT[	MJTJ	MJT				ptca	sg		unknown	verb	J				nnnn	nnnn	מיתי
498001	SP	Numbers	32	38	SBB[	MWSBWT	SB				ptcp	pl		unknown	verb		WT			nnnnnn	nnnnnn	מוסבות
418371	SP	Genesis	25	26	>XZ[	>XZT	>XZ				ptca	sg		unknown	verb		T			nnnn	nnnn	אחזת
468663	SP	Leviticus	15	21	NG<[	NG<	NG<				ptca	sg		unknown	verb				H	nnn	nnn	נגע
481460	SP	Numbers	7	61	ML>[	ML>JM	ML>				ptca	pl		unknown	verb		JM			nnnnn	nnnnn	מלאים
481462	SP	Numbers	7	61	BLL[	BLWLH	BLWL				ptcp	sg		unknown	verb		H			nnnnn	nnnnn	בלולה
417462	SP	Genesis	24	42	YLX[	MYLJX	YLJX				ptca	sg		unknown	verb					nnnnn	nnnnn	מצליח
417466	SP	Genesis	24	42	HLK[	HLK	HLK				ptca	sg		unknown	verb					nnn	nnn	הלך
482174	SP	Numbers	8	16	NTN[	NTNJM	NTN				ptcp	pl		unknown	verb		JM			nnnnn	nnnnn	נתנים
482175	SP	Numbers	8	16	NTN[	NTNJM	NTN				ptcp	pl		unknown	verb		JM			nnnnn	nnnnn	נתנים
486833	SP	Numbers	15	32	QCC[	MQCC	QCC				ptca	sg		unknown	verb					nnnn	nnnn	מקשש
406343	SP	Genesis	2	13	SBB[	SWBB	SWBB				ptca	sg		unknown	verb				H	nnnn	nnnn	סובב
517961	SP	Deuteronomy	30	18	<BR[	<BRJM	<BR				ptca	pl		unknown	verb		JM			nnnnn	nnnnn	עברים
