tf_id	scroll	book	chapter	verse	lex	g_cons	stem	pattern	pattern_g_cons	vs	vt	nu	gn	ps	sp	prs	nme	hloc	prefix	rec_signs	cor_signs	heb_g_cons
478077	SP	Numbers	3	33	MCPXT/	MCPXT	MCPX				NA	sg		NA	subs		T			nnnnn	nnnnn	משפחת
478079	SP	Numbers	3	33	MXLJ/	MXLJ	MXLJ				NA	sg		NA	adjv				H	nnnn	nnnn	מחלי
478081	SP	Numbers	3	33	MCPXT/	MCPXT	MCPX				NA	sg		NA	subs		T		W	nnnnn	nnnnn	משפחת
478083	SP	Numbers	3	33	MWCJ/	MWCJ	MWCJ				NA	sg		NA	adjv				H	nnnn	nnnn	מושי
478086	SP	Numbers	3	33	MCPXH/	MCPXWT	MCPX				NA	pl		NA	subs		WT			nnnnnn	nnnnnn	משפחות
435243	SP	Exodus	3	2	ML>K/	ML>K	ML>K				NA	sg		NA	subs					nnnn	nnnn	מלאך
435246	SP	Exodus	3	2	LHBH/	LHBT	LHB				NA	sg		NA	subs		T		B	nnnn	nnnn	להבת
435247	SP	Exodus	3	2	>C/	>C	>C				NA	sg		NA	subs					nn	nn	אש
435249	SP	Exodus	3	2	TWK/	TWK	TWK				NA	sg		NA	subs				M	nnn	nnn	תוך
435251	SP	Exodus	3	2	SNH/	SNH	SNH				NA	sg		NA	subs				H	nnn	nnn	סנה
435257	SP	Exodus	3	2	SNH/	SNH	SNH				NA	sg		NA	subs				H	nnn	nnn	סנה
435260	SP	Exodus	3	2	>C/	>C	>C				NA	sg		NA	subs				B	nn	nn	אש
435263	SP	Exodus	3	2	SNH/	SNH	SNH				NA	sg		NA	subs				WH	nnn	nnn	סנה
435264	SP	Exodus	3	2	>JN/	>JNNW	>JN				NA	sg		NA	subs	W				nnnnn	nnnnn	איננו
470432	SP	Leviticus	18	24	KL/	KL	KL				NA	sg		NA	subs				B	nn	nn	כל
470436	SP	Leviticus	18	24	KL/	KL	KL				NA	sg		NA	subs				B	nn	nn	כל
470440	SP	Leviticus	18	24	GWJ/	GWJM	GWJ				NA	pl		NA	subs		M		H	nnnn	nnnn	גוים
470445	SP	Leviticus	18	24	PNH/	PNJKM	PN				NA	pl		NA	subs	KM	J		M	nnnnn	nnnnn	פניכם
454205	SP	Exodus	33	2	PNH/	PNJK	PN				NA	pl		NA	subs	K	J		L	nnnn	nnnn	פניך
454206	SP	Exodus	33	2	ML>K/	ML>K	ML>K				NA	sg		NA	subs					nnnn	nnnn	מלאך
454211	SP	Exodus	33	2	KN<NJ/	KN<NJ	KN<NJ				NA	sg		NA	adjv				H	nnnnn	nnnnn	כנעני
454214	SP	Exodus	33	2	>MRJ/	>MRJ	>MRJ				NA	sg		NA	adjv				WH	nnnn	nnnn	אמרי
454217	SP	Exodus	33	2	XTJ/	XTJ	XTJ				NA	sg		NA	adjv				WH	nnn	nnn	חתי
454220	SP	Exodus	33	2	GRGCJ/	GRGCJ	GRGCJ				NA	sg		NA	adjv				WH	nnnnn	nnnnn	גרגשי
454223	SP	Exodus	33	2	PRZJ/	PRZJ	PRZJ				NA	sg		NA	adjv				WH	nnnn	nnnn	פרזי
