tf_id	scroll	book	chapter	verse	lex	g_cons	stem	pattern	pattern_g_cons	vs	vt	nu	gn	ps	sp	prs	nme	hloc	prefix	rec_signs	cor_signs	heb_g_cons	other_vowel_ending	feature	line	column	has_prs	has_prefix	has_hloc	has_nme	rec_signs_stem	cor_signs_stem	type	vowel_letter	has_vowel_letter
49	MT	Genesis	1	4	BDL[	JBDL	BDL	CCC	CCCC	hif	wayq	sg	m	p3	verb				W	nnnn	nnnn	יבדל		hiph_triliteral	-	-	0	1	0	0	nnn	nnn	last		0
90	MT	Genesis	1	6	BDL[	MBDJL	BDJL	CCMC	CCCMC	hif	ptca	sg	m	unknown	verb					nnnnn	nnnnn	מבדיל		hiph_triliteral	-	-	0	0	0	0	nnnn	nnnn	last	J	1
102	MT	Genesis	1	7	BDL[	JBDL	BDL	CCC	CCCC	hif	wayq	sg	m	p3	verb				W	nnnn	nnnn	יבדל		hiph_triliteral	-	-	0	1	0	0	nnn	nnn	last		0
182	MT	Genesis	1	11	DC>[	TDC>	DC>	CCM	CCCM	hif	impf	sg	f	p3	verb					nnnn	nnnn	תדשא		hiph_triliteral	-	-	0	0	0	0	nnn	nnn	last		0
187	MT	Genesis	1	11	ZR<[	MZRJ<	ZRJ<	CCMC	CCCMC	hif	ptca	sg	m	unknown	verb					nnnnn	nnnnn	מזריע		hiph_triliteral	-	-	0	0	0	0	nnnn	nnnn	last	J	1
210	MT	Genesis	1	12	ZR<[	MZRJ<	ZRJ<	CCMC	CCCMC	hif	ptca	sg	m	unknown	verb					nnnnn	nnnnn	מזריע		hiph_triliteral	-	-	0	0	0	0	nnnn	nnnn	last	J	1
246	MT	Genesis	1	14	BDL[	HBDJL	BDJL	CCMC	CCCMC	hif	infc		unknown	unknown	verb				L	nnnnn	nnnnn	הבדיל		hiph_triliteral	-	-	0	1	0	0	nnnn	nnnn	last	J	1
339	MT	Genesis	1	18	BDL[	HBDJL	BDJL	CCMC	CCCMC	hif	infc		unknown	unknown	verb				WL	nnnnn	nnnnn	הבדיל		hiph_triliteral	-	-	0	1	0	0	nnnn	nnnn	last	J	1
764	MT	Genesis	2	5	MVR[	HMVJR	MVJR	CCMC	CCCMC	hif	perf	sg	m	p3	verb					nnnnn	nnnnn	המטיר		hiph_triliteral	-	-	0	0	0	0	nnnn	nnnn	last	J	1
833	MT	Genesis	2	9	YMX[	JYMX	YMX	CCC	CCCC	hif	wayq	sg	m	p3	verb				W	nnnn	nnnn	יצמח		hiph_triliteral	-	-	0	1	0	0	nnn	nnn	last		0
1079	MT	Genesis	2	21	NPL[	JPL	PL	CC	CCC	hif	wayq	sg	m	p3	verb				W	nnn	nnn	יפל		hiph_triliteral	-	-	0	1	0	0	nn	nn	last		0
1283	MT	Genesis	3	6	FKL[	HFKJL	FKJL	CCMC	CCCMC	hif	infc		unknown	unknown	verb				L	nnnnn	nnnnn	השכיל		hiph_triliteral	-	-	0	1	0	0	nnnn	nnnn	last	J	1
1373	MT	Genesis	3	11	NGD[	HGJD	GJD	CMC	CCMC	hif	perf	sg	m	p3	verb					nnnn	nnnn	הגיד		hiph_triliteral	-	-	0	0	0	0	nnn	nnn	last	J	1
1422	MT	Genesis	3	13	NC>=[	HCJ>NJ	CJ>	CMC	CCMCCM	hif	perf	sg	m	p3	verb	NJ				nnnnnn	nnnnnn	השיאני		hiph_triliteral	-	-	1	0	0	0	nnn	nnn	last	J	1
1534	MT	Genesis	3	18	YMX[	TYMJX	YMJX	CCMC	CCCMC	hif	impf	sg	f	p3	verb					nnnnn	nnnnn	תצמיח		hiph_triliteral	-	-	0	0	0	0	nnnn	nnnn	last	J	1
1587	MT	Genesis	3	21	LBC[	JLBCM	LBC	CCC	CCCCC	hif	wayq	sg	m	p3	verb	M			W	nnnnn	nnnnn	ילבשם		hiph_triliteral	-	-	1	1	0	0	nnn	nnn	last		0
1644	MT	Genesis	3	24	CKN[	JCKN	CKN	CCC	CCCC	hif	wayq	sg	m	p3	verb				W	nnnn	nnnn	ישכן		hiph_triliteral	-	-	0	1	0	0	nnn	nnn	last		0
2056	MT	Genesis	4	23	>ZN[	H>ZNH	>Z	CC	CCCCM	hif	impv	pl	f	p2	verb					nnnnn	nnnnn	האזנה		hiph_triliteral	-	-	0	0	0	0	nn	nn	last		0
2818	MT	Genesis	6	12	CXT[	HCXJT	CXJT	CCMC	CCCMC	hif	perf	sg	m	p3	verb					nnnnn	nnnnn	השחית		hiph_triliteral	-	-	0	0	0	0	nnnn	nnnn	last	J	1
2846	MT	Genesis	6	13	CXT[	MCXJTM	CXJT	CCMC	CCCMCC	hif	ptca	sg	m	unknown	verb	M				nnnnnn	nnnnnn	משחיתם		hiph_triliteral	-	-	1	0	0	0	nnnn	nnnn	last	J	1
3111	MT	Genesis	7	4	MVR[	MMVJR	MVJR	CCMC	CCCMC	hif	ptca	sg	m	unknown	verb					nnnnn	nnnnn	ממטיר		hiph_triliteral	-	-	0	0	0	0	nnnn	nnnn	last	J	1
3565	MT	Genesis	8	1	<BR[	J<BR	<BR	CCC	CCCC	hif	wayq	sg	m	p3	verb				W	nnnn	nnnn	יעבר		hiph_triliteral	-	-	0	1	0	0	nnn	nnn	last		0
4430	MT	Genesis	9	22	NGD[	JGD	GD	CC	CCC	hif	wayq	sg	m	p3	verb				W	nnn	nnn	יגד		hiph_triliteral	-	-	0	1	0	0	nn	nn	last		0
5634	MT	Genesis	12	8	<TQ[	J<TQ	<TQ	CCC	CCCC	hif	wayq	sg	m	p3	verb				W	nnnn	nnnn	יעתק		hiph_triliteral	-	-	0	1	0	0	nnn	nnn	last		0
5697	MT	Genesis	12	11	QRB[	HQRJB	QRJB	CCMC	CCCMC	hif	perf	sg	m	p3	verb					nnnnn	nnnnn	הקריב		hiph_triliteral	-	-	0	0	0	0	nnnn	nnnn	last	J	1
6038	MT	Genesis	13	9	FM>L[	>FM>JLH	FM>JL	CCCMC	CCCCMCM	hif	impf	sg	unknown	p1	verb				W	nnnnnnn	nnnnnnn	אשמאילה		hiph_triliteral	-	-	0	1	0	0	nnnnn	nnnnn	last	J	1
6446	MT	Genesis	14	13	NGD[	JGD	GD	CC	CCC	hif	wayq	sg	m	p3	verb				W	nnn	nnn	יגד		hiph_triliteral	-	-	0	1	0	0	nn	nn	last		0
6752	MT	Genesis	15	5	NBV[	HBV	BV	CC	CCC	hif	impv	sg	m	p2	verb					nnn	nnn	הבט		hiph_triliteral	-	-	0	0	0	0	nn	nn	last		0
6772	MT	Genesis	15	6	>MN[	H>MN	>MN	CCC	CCCC	hif	perf	sg	m	p3	verb				W	nnnn	nnnn	האמן		hiph_triliteral	-	-	0	1	0	0	nnn	nnn	last		0
6858	MT	Genesis	15	11	NCB[	JCB	CB	CC	CCC	hif	wayq	sg	m	p3	verb				W	nnn	nnn	ישב		hiph_triliteral	-	-	0	1	0	0	nn	nn	last		0
8082	MT	Genesis	18	16	CQP[	JCQPW	CQP	CCC	CCCCM	hif	wayq	pl	m	p3	verb				W	nnnnn	nnnnn	ישקפו		hiph_triliteral	-	-	0	1	0	0	nnn	nnn	last		0
8306	MT	Genesis	18	28	CXT[	TCXJT	CXJT	CCMC	CCCMC	hif	impf	sg	m	p2	verb				H	nnnnn	nnnnn	תשחית		hiph_triliteral	-	-	0	1	0	0	nnnn	nnnn	last	J	1
8316	MT	Genesis	18	28	CXT[	>CXJT	CXJT	CCMC	CCCMC	hif	impf	sg	unknown	p1	verb					nnnnn	nnnnn	אשחית		hiph_triliteral	-	-	0	0	0	0	nnnn	nnnn	last	J	1
8380	MT	Genesis	18	31	CXT[	>CXJT	CXJT	CCMC	CCCMC	hif	impf	sg	unknown	p1	verb					nnnnn	nnnnn	אשחית		hiph_triliteral	-	-	0	0	0	0	nnnn	nnnn	last	J	1
8404	MT	Genesis	18	32	CXT[	>CXJT	CXJT	CCMC	CCCMC	hif	impf	sg	unknown	p1	verb					nnnnn	nnnnn	אשחית		hiph_triliteral	-	-	0	0	0	0	nnnn	nnnn	last	J	1
8695	MT	Genesis	19	13	CXT[	MCXTJM	CXT	CCC	CCCCMC	hif	ptca	pl	m	unknown	verb		JM			nnnnnn	nnnnnn	משחתים		hiph_triliteral	-	-	0	0	0	1	nnn	nnn	last		0
8732	MT	Genesis	19	14	CXT[	MCXJT	CXJT	CCMC	CCCMC	hif	ptca	sg	m	unknown	verb					nnnnn	nnnnn	משחית		hiph_triliteral	-	-	0	0	0	0	nnnn	nnnn	last	J	1
8776	MT	Genesis	19	16	XZQ[	JXZQW	XZQ	CCC	CCCCM	hif	wayq	pl	m	p3	verb				W	nnnnn	nnnnn	יחזקו		hiph_triliteral	-	-	0	1	0	0	nnn	nnn	last		0
8816	MT	Genesis	19	17	NBV[	TBJV	BJV	CMC	CCMC	hif	impf	sg	m	p2	verb					nnnn	nnnn	תביט		hiph_triliteral	-	-	0	0	0	0	nnn	nnn	last	J	1
8845	MT	Genesis	19	19	GDL[	TGDL	GDL	CCC	CCCC	hif	wayq	sg	m	p2	verb				W	nnnn	nnnn	תגדל		hiph_triliteral	-	-	0	1	0	0	nnn	nnn	last		0
8942	MT	Genesis	19	24	MVR[	HMVJR	MVJR	CCMC	CCCMC	hif	perf	sg	m	p3	verb					nnnnn	nnnnn	המטיר		hiph_triliteral	-	-	0	0	0	0	nnnn	nnnn	last	J	1
8980	MT	Genesis	19	26	NBV[	TBV	BV	CC	CCC	hif	wayq	sg	f	p3	verb				W	nnn	nnn	תבט		hiph_triliteral	-	-	0	1	0	0	nn	nn	last		0
8989	MT	Genesis	19	27	CKM[	JCKM	CKM	CCC	CCCC	hif	wayq	sg	m	p3	verb				W	nnnn	nnnn	ישכם		hiph_triliteral	-	-	0	1	0	0	nnn	nnn	last		0
9004	MT	Genesis	19	28	CQP[	JCQP	CQP	CCC	CCCC	hif	wayq	sg	m	p3	verb				W	nnnn	nnnn	ישקף		hiph_triliteral	-	-	0	1	0	0	nnn	nnn	last		0
9400	MT	Genesis	20	8	CKM[	JCKM	CKM	CCC	CCCC	hif	wayq	sg	m	p3	verb				W	nnnn	nnnn	ישכם		hiph_triliteral	-	-	0	1	0	0	nnn	nnn	last		0
