tf_id	scroll	book	chapter	verse	lex	g_cons	stem	pattern	pattern_g_cons	vs	vt	nu	gn	ps	sp	prs	nme	hloc	prefix	rec_signs	cor_signs	heb_g_cons	other_vowel_ending	feature	line	column	has_prs	has_prefix	has_hloc	has_nme	rec_signs_stem	cor_signs_stem	type	vowel_letter	has_vowel_letter
727	MT	Genesis	2	3	<FH[	<FWT	<F	CC	CCMC	qal	infc		unknown	unknown	verb		WT		L	nnnn	nnnn	עשות		infc_qal	-	-	0	1	0	1	nn	nn	nme	W	1
739	MT	Genesis	2	4	<FH[	<FWT	<F	CC	CCMC	qal	infc		unknown	unknown	verb		WT			nnnn	nnnn	עשות		infc_qal	-	-	0	0	0	1	nn	nn	nme	W	1
1002	MT	Genesis	2	18	HJH[	HJWT	HJ	CC	CCMC	qal	infc		unknown	unknown	verb		WT			nnnn	nnnn	היות		infc_qal	-	-	0	0	0	1	nn	nn	nme	W	1
1035	MT	Genesis	2	19	R>H[	R>WT	R>	CC	CCMC	qal	infc		unknown	unknown	verb		WT		L	nnnn	nnnn	ראות		infc_qal	-	-	0	1	0	1	nn	nn	nme	W	1
1796	MT	Genesis	4	8	HJH[	HJWTM	HJ	CC	CCMCC	qal	infc		unknown	unknown	verb	M	WT		B	nnnnn	nnnnn	היותם		infc_qal	-	-	1	1	0	1	nn	nn	nme	W	1
3695	MT	Genesis	8	8	R>H[	R>WT	R>	CC	CCMC	qal	infc		unknown	unknown	verb		WT		L	nnnn	nnnn	ראות		infc_qal	-	-	0	1	0	1	nn	nn	nme	W	1
4638	MT	Genesis	10	8	HJH[	HJWT	HJ	CC	CCMC	qal	infc		unknown	unknown	verb		WT		L	nnnn	nnnn	היות		infc_qal	-	-	0	1	0	1	nn	nn	nme	W	1
5046	MT	Genesis	11	5	R>H[	R>T	R>	CC	CCC	qal	infc		unknown	unknown	verb		T		L	nnn	nnn	ראת		infc_qal	-	-	0	1	0	1	nn	nn	nme		0
5074	MT	Genesis	11	6	<FH[	<FWT	<F	CC	CCMC	qal	infc		unknown	unknown	verb		WT		L	nnnn	nnnn	עשות		infc_qal	-	-	0	1	0	1	nn	nn	nme	W	1
5084	MT	Genesis	11	6	<FH[	<FWT	<F	CC	CCMC	qal	infc		unknown	unknown	verb		WT		L	nnnn	nnnn	עשות		infc_qal	-	-	0	1	0	1	nn	nn	nme	W	1
5111	MT	Genesis	11	8	BNH[	BNT	BN	CC	CCC	qal	infc		unknown	unknown	verb		T		L	nnn	nnn	בנת		infc_qal	-	-	0	1	0	1	nn	nn	nme		0
6172	MT	Genesis	13	16	MNH[	MNWT	MN	CC	CCMC	qal	infc		unknown	unknown	verb		WT		L	nnnn	nnnn	מנות		infc_qal	-	-	0	1	0	1	nn	nn	nme	W	1
7430	MT	Genesis	17	7	HJH[	HJWT	HJ	CC	CCMC	qal	infc		unknown	unknown	verb		WT		L	nnnn	nnnn	היות		infc_qal	-	-	0	1	0	1	nn	nn	nme	W	1
7930	MT	Genesis	18	7	<FH[	<FWT	<F	CC	CCMC	qal	infc		unknown	unknown	verb		WT		L	nnnn	nnnn	עשות		infc_qal	-	-	0	1	0	1	nn	nn	nme	W	1
8003	MT	Genesis	18	11	HJH[	HJWT	HJ	CC	CCMC	qal	infc		unknown	unknown	verb		WT		L	nnnn	nnnn	היות		infc_qal	-	-	0	1	0	1	nn	nn	nme	W	1
8018	MT	Genesis	18	12	BLH[	BLTJ	BL	CC	CCCM	qal	infc		unknown	unknown	verb	J	T			nnnn	nnnn	בלתי		infc_qal	-	-	1	0	0	1	nn	nn	nme		0
8135	MT	Genesis	18	19	<FH[	<FWT	<F	CC	CCMC	qal	infc		unknown	unknown	verb		WT		L	nnnn	nnnn	עשות		infc_qal	-	-	0	1	0	1	nn	nn	nme	W	1
8232	MT	Genesis	18	25	<FH[	<FT	<F	CC	CCC	qal	infc		unknown	unknown	verb		T		M	nnn	nnn	עשת		infc_qal	-	-	0	1	0	1	nn	nn	nme		0
8918	MT	Genesis	19	22	<FH[	<FWT	<F	CC	CCMC	qal	infc		unknown	unknown	verb		WT		L	nnnn	nnnn	עשות		infc_qal	-	-	0	1	0	1	nn	nn	nme	W	1
10769	MT	Genesis	23	2	BKH[	BKTH	BK	CC	CCCC	qal	infc		unknown	unknown	verb	H	T		WL	nnnn	nnnn	בכתה		infc_qal	-	-	1	1	0	1	nn	nn	nme		0
11504	MT	Genesis	24	19	CTH[	CTT	CT	CC	CCC	qal	infc		unknown	unknown	verb		T		L	nnn	nnn	שתת		infc_qal	-	-	0	1	0	1	nn	nn	nme		0
11548	MT	Genesis	24	22	CTH[	CTWT	CT	CC	CCMC	qal	infc		unknown	unknown	verb		WT		L	nnnn	nnnn	שתות		infc_qal	-	-	0	1	0	1	nn	nn	nme	W	1
11674	MT	Genesis	24	30	R>H[	R>T	R>	CC	CCC	qal	infc		unknown	unknown	verb		T		K	nnn	nnn	ראת		infc_qal	-	-	0	1	0	1	nn	nn	nme		0
12336	MT	Genesis	24	63	PNH[	PNWT	PN	CC	CCMC	qal	infc		unknown	unknown	verb		WT		L	nnnn	nnnn	פנות		infc_qal	-	-	0	1	0	1	nn	nn	nme	W	1
13645	MT	Genesis	27	1	R>H[	R>T	R>	CC	CCC	qal	infc		unknown	unknown	verb		T		M	nnn	nnn	ראת		infc_qal	-	-	0	1	0	1	nn	nn	nme		0
16261	MT	Genesis	30	38	CTH[	CTWT	CT	CC	CCMC	qal	infc		unknown	unknown	verb		WT		L	nnnn	nnnn	שתות		infc_qal	-	-	0	1	0	1	nn	nn	nme	W	1
