tf_id	scroll	book	chapter	verse	lex	g_cons	stem	pattern	pattern_g_cons	vs	vt	nu	gn	ps	sp	prs	nme	hloc	prefix	rec_signs	cor_signs	heb_g_cons
405426	SP	Genesis	1	1	R>CJT/	R>CJT	R>CJT	X	X		NA	sg		NA	subs				B	nnnnn	nnnnn	
405428	SP	Genesis	1	1	>LHJM/	>LHJM	>LH	X	X		NA	pl		NA	subs		JM			nnnnn	nnnnn	
405431	SP	Genesis	1	1	CMJM/	CMJM	CMJ	X	X		NA	pl		NA	subs		M		H	nnnn	nnnn	
405435	SP	Genesis	1	1	>RY/	>RY	>RY	X	X		NA	sg		NA	subs				H	nnn	nnn	
405438	SP	Genesis	1	2	>RY/	>RY	>RY	X	X		NA	sg		NA	subs				WH	nnn	nnn	
405440	SP	Genesis	1	2	THW/	THW	THW	X	X		NA	sg		NA	subs					nnn	nnn	
405442	SP	Genesis	1	2	BHW/	BHW	BHW	X	X		NA	sg		NA	subs				W	nnn	nnn	
405444	SP	Genesis	1	2	XCK/	XCK	XCK	X	X		NA	sg		NA	subs				W	nnn	nnn	
405446	SP	Genesis	1	2	PNH/	PNJ	PN	X	X		NA	pl		NA	subs		J			nnn	nnn	
405447	SP	Genesis	1	2	THWM/	THWM	THWM	X	X		NA	sg		NA	subs					nnnn	nnnn	
405449	SP	Genesis	1	2	RWX/	RWX	RWX	X	X		NA	sg		NA	subs				W	nnn	nnn	
405450	SP	Genesis	1	2	>LHJM/	>LHJM	>LH	X	X		NA	pl		NA	subs		JM			nnnnn	nnnnn	
405453	SP	Genesis	1	2	PNH/	PNJ	PN	X	X		NA	pl		NA	subs		J			nnn	nnn	
405455	SP	Genesis	1	2	MJM/	MJM	MJ	X	X		NA	pl		NA	subs		M		H	nnn	nnn	
405458	SP	Genesis	1	3	>LHJM/	>LHJM	>LH	X	X		NA	pl		NA	subs		JM			nnnnn	nnnnn	
405460	SP	Genesis	1	3	>WR/	>WR	>WR	X	X		NA	sg		NA	subs					nnn	nnn	
405463	SP	Genesis	1	3	>WR/	>WR	>WR	X	X		NA	sg		NA	subs					nnn	nnn	
405466	SP	Genesis	1	4	>LHJM/	>LHJM	>LH	X	X		NA	pl		NA	subs		JM			nnnnn	nnnnn	
405469	SP	Genesis	1	4	>WR/	>WR	>WR	X	X		NA	sg		NA	subs				H	nnn	nnn	
405474	SP	Genesis	1	4	>LHJM/	>LHJM	>LH	X	X		NA	pl		NA	subs		JM			nnnnn	nnnnn	
405475	SP	Genesis	1	4	BJN/	BJN	BJN	X	X		NA	sg		NA	subs					nnn	nnn	
405477	SP	Genesis	1	4	>WR/	>WR	>WR	X	X		NA	sg		NA	subs				H	nnn	nnn	
405479	SP	Genesis	1	4	BJN/	BJN	BJN	X	X		NA	sg		NA	subs				W	nnn	nnn	
405481	SP	Genesis	1	4	XCK/	XCK	XCK	X	X		NA	sg		NA	subs				H	nnn	nnn	
405484	SP	Genesis	1	5	>LHJM/	>LHJM	>LH	X	X		NA	pl		NA	subs		JM			nnnnn	nnnnn	
405486	SP	Genesis	1	5	>WR/	>WR	>WR	X	X		NA	sg		NA	subs				L	nnn	nnn	
405487	SP	Genesis	1	5	JWM/	JWM	JWM	X	X		NA	sg		NA	subs					nnn	nnn	
405490	SP	Genesis	1	5	XCK/	XCK	XCK	X	X		NA	sg		NA	subs				WL	nnn	nnn	
405492	SP	Genesis	1	5	LJLH/	LJLH	LJLH	X	X		NA	sg		NA	subs					nnnn	nnnn	
405495	SP	Genesis	1	5	<RB/	<RB	<RB	X	X		NA	sg		NA	subs					nnn	nnn	
