tf_id	scroll	book	chapter	verse	lex	g_cons	stem	pattern	pattern_g_cons	vs	vt	nu	gn	ps	sp	prs	nme	hloc	prefix	rec_signs	cor_signs	heb_g_cons	other_vowel_ending	line	column	has_prs	has_prefix	has_hloc	has_nme	rec_signs_stem	cor_signs_stem	type	vowel_letter	has_vowel_letter
395	MT	Genesis	1	21	RMF[	RMFT	RMF	CCC	CCCC	qal	ptca	sg	f	unknown	verb		T		H	nnnn	nnnn	רמשת		-	-	0	1	0	1	nnn	nnn	first		0
530	MT	Genesis	1	26	RMF[	RMF	RMF	CCC	CCC	qal	ptca	sg	m	unknown	verb				H	nnn	nnn	רמש		-	-	0	1	0	0	nnn	nnn	first		0
586	MT	Genesis	1	28	RMF[	RMFT	RMF	CCC	CCCC	qal	ptca	sg	f	unknown	verb		T		H	nnnn	nnnn	רמשת		-	-	0	1	0	1	nnn	nnn	first		0
599	MT	Genesis	1	29	ZR<[	ZR<	ZR<	CCC	CCC	qal	ptca	sg	m	unknown	verb					nnn	nnn	זרע		-	-	0	0	0	0	nnn	nnn	first		0
616	MT	Genesis	1	29	ZR<[	ZR<	ZR<	CCC	CCC	qal	ptca	sg	m	unknown	verb					nnn	nnn	זרע		-	-	0	0	0	0	nnn	nnn	first		0
637	MT	Genesis	1	30	RMF[	RWMF	RWMF	CMCC	CMCC	qal	ptca	sg	m	unknown	verb					nnnn	nnnn	רומש		-	-	0	0	0	0	nnnn	nnnn	first	W	1
888	MT	Genesis	2	11	SBB[	SBB	SBB	CCC	CCC	qal	ptca	sg	m	unknown	verb				H	nnn	nnn	סבב		-	-	0	1	0	0	nnn	nnn	first		0
921	MT	Genesis	2	13	SBB[	SWBB	SWBB	CMCC	CMCC	qal	ptca	sg	m	unknown	verb				H	nnnn	nnnn	סובב		-	-	0	1	0	0	nnnn	nnnn	first	W	1
935	MT	Genesis	2	14	HLK[	HLK	HLK	CCC	CCC	qal	ptca	sg	m	unknown	verb				H	nnn	nnn	הלך		-	-	0	1	0	0	nnn	nnn	first		0
1243	MT	Genesis	3	5	JD<[	JD<	JD<	CCC	CCC	qal	ptca	sg	m	unknown	verb					nnn	nnn	ידע		-	-	0	0	0	0	nnn	nnn	first		0
1257	MT	Genesis	3	5	JD<[	JD<J	JD<	CCC	CCCM	qal	ptca	pl	m	unknown	verb		J			nnnn	nnnn	ידעי		-	-	0	0	0	1	nnn	nnn	first		0
1702	MT	Genesis	4	2	<BD[	<BD	<BD	CCC	CCC	qal	ptca	sg	m	unknown	verb					nnn	nnn	עבד		-	-	0	0	0	0	nnn	nnn	first		0
1779	MT	Genesis	4	7	RBY[	RBY	RBY	CCC	CCC	qal	ptca	sg	m	unknown	verb					nnn	nnn	רבץ		-	-	0	0	0	0	nnn	nnn	first		0
1821	MT	Genesis	4	9	CMR[	CMR	CMR	CCC	CCC	qal	ptca	sg	m	unknown	verb				H	nnn	nnn	שמר		-	-	0	1	0	0	nnn	nnn	first		0
1831	MT	Genesis	4	10	Y<Q[	Y<QJM	Y<Q	CCC	CCCMC	qal	ptca	pl	m	unknown	verb		JM			nnnnn	nnnnn	צעקים		-	-	0	0	0	1	nnn	nnn	first		0
1905	MT	Genesis	4	14	MY>[	MY>J	MY>	CCC	CCCM	qal	ptca	sg	m	unknown	verb	J				nnnn	nnnn	מצאי		-	-	1	0	0	0	nnn	nnn	first		0
1913	MT	Genesis	4	15	HRG[	HRG	HRG	CCC	CCC	qal	ptca	sg	m	unknown	verb					nnn	nnn	הרג		-	-	0	0	0	0	nnn	nnn	first		0
1928	MT	Genesis	4	15	MY>[	MY>W	MY>	CCC	CCCM	qal	ptca	sg	m	unknown	verb	W				nnnn	nnnn	מצאו		-	-	1	0	0	0	nnn	nnn	first		0
2011	MT	Genesis	4	20	JCB[	JCB	JCB	CCC	CCC	qal	ptca	sg	m	unknown	verb					nnn	nnn	ישב		-	-	0	0	0	0	nnn	nnn	first		0
2023	MT	Genesis	4	21	TPF[	TPF	TPF	CCC	CCC	qal	ptca	sg	m	unknown	verb					nnn	nnn	תפש		-	-	0	0	0	0	nnn	nnn	first		0
2034	MT	Genesis	4	22	LVC[	LVC	LVC	CCC	CCC	qal	ptca	sg	m	unknown	verb					nnn	nnn	לטש		-	-	0	0	0	0	nnn	nnn	first		0
2036	MT	Genesis	4	22	XRC=[	XRC	XRC	CCC	CCC	qal	ptca	sg	m	unknown	verb					nnn	nnn	חרש		-	-	0	0	0	0	nnn	nnn	first		0
3193	MT	Genesis	7	8	RMF[	RMF	RMF	CCC	CCC	qal	ptca	sg	m	unknown	verb					nnn	nnn	רמש		-	-	0	0	0	0	nnn	nnn	first		0
3320	MT	Genesis	7	14	RMF[	RMF	RMF	CCC	CCC	qal	ptca	sg	m	unknown	verb				H	nnn	nnn	רמש		-	-	0	1	0	0	nnn	nnn	first		0
3453	MT	Genesis	7	21	RMF[	RMF	RMF	CCC	CCC	qal	ptca	sg	m	unknown	verb				H	nnn	nnn	רמש		-	-	0	1	0	0	nnn	nnn	first		0
3474	MT	Genesis	7	21	CRY[	CRY	CRY	CCC	CCC	qal	ptca	sg	m	unknown	verb				H	nnn	nnn	שרץ		-	-	0	1	0	0	nnn	nnn	first		0
3893	MT	Genesis	8	17	RMF[	RMF	RMF	CCC	CCC	qal	ptca	sg	m	unknown	verb				H	nnn	nnn	רמש		-	-	0	1	0	0	nnn	nnn	first		0
3933	MT	Genesis	8	19	RMF[	RWMF	RWMF	CMCC	CMCC	qal	ptca	sg	m	unknown	verb					nnnn	nnnn	רומש		-	-	0	0	0	0	nnnn	nnnn	first	W	1
4135	MT	Genesis	9	6	CPK[	CPK	CPK	CCC	CCC	qal	ptca	sg	m	unknown	verb					nnn	nnn	שפך		-	-	0	0	0	0	nnn	nnn	first		0
4209	MT	Genesis	9	10	JY>[	JY>J	JY>	CCC	CCCM	qal	ptca	pl	m	unknown	verb		J			nnnn	nnnn	יצאי		-	-	0	0	0	1	nnn	nnn	first		0
4250	MT	Genesis	9	12	NTN[	NTN	NTN	CCC	CCC	qal	ptca	sg	m	unknown	verb					nnn	nnn	נתן		-	-	0	0	0	0	nnn	nnn	first		0
4375	MT	Genesis	9	18	JY>[	JY>JM	JY>	CCC	CCCMC	qal	ptca	pl	m	unknown	verb		JM		H	nnnnn	nnnnn	יצאים		-	-	0	1	0	1	nnn	nnn	first		0
5944	MT	Genesis	13	5	HLK[	HLK	HLK	CCC	CCC	qal	ptca	sg	m	unknown	verb				H	nnn	nnn	הלך		-	-	0	1	0	0	nnn	nnn	first		0
5991	MT	Genesis	13	7	JCB[	JCB	JCB	CCC	CCC	qal	ptca	sg	m	unknown	verb					nnn	nnn	ישב		-	-	0	0	0	0	nnn	nnn	first		0
6339	MT	Genesis	14	7	JCB[	JCB	JCB	CCC	CCC	qal	ptca	sg	m	unknown	verb				H	nnn	nnn	ישב		-	-	0	1	0	0	nnn	nnn	first		0
6438	MT	Genesis	14	12	JCB[	JCB	JCB	CCC	CCC	qal	ptca	sg	m	unknown	verb					nnn	nnn	ישב		-	-	0	0	0	0	nnn	nnn	first		0
6453	MT	Genesis	14	13	CKN[	CKN	CKN	CCC	CCC	qal	ptca	sg	m	unknown	verb					nnn	nnn	שכן		-	-	0	0	0	0	nnn	nnn	first		0
6704	MT	Genesis	15	2	HLK[	HWLK	HWLK	CMCC	CMCC	qal	ptca	sg	m	unknown	verb					nnnn	nnnn	הולך		-	-	0	0	0	0	nnnn	nnnn	first	W	1
6725	MT	Genesis	15	3	JRC[	JWRC	JWRC	CMCC	CMCC	qal	ptca	sg	m	unknown	verb					nnnn	nnnn	יורש		-	-	0	0	0	0	nnnn	nnnn	first	W	1
6877	MT	Genesis	15	12	NPL[	NPLT	NPL	CCC	CCCC	qal	ptca	sg	f	unknown	verb		T			nnnn	nnnn	נפלת		-	-	0	0	0	1	nnn	nnn	first		0
7197	MT	Genesis	16	8	BRX[	BRXT	BRX	CCC	CCCC	qal	ptca	sg	f	unknown	verb		T			nnnn	nnnn	ברחת		-	-	0	0	0	1	nnn	nnn	first		0
7232	MT	Genesis	16	11	JLD[	JLDT	JLD	CCC	CCCC	qal	ptca	sg	f	unknown	verb		T		W	nnnn	nnnn	ילדת		-	-	0	1	0	1	nnn	nnn	first		0
7267	MT	Genesis	16	13	DBR[	DBR	DBR	CCC	CCC	qal	ptca	sg	m	unknown	verb				H	nnn	nnn	דבר		-	-	0	1	0	0	nnn	nnn	first		0
7639	MT	Genesis	17	19	JLD[	JLDT	JLD	CCC	CCCC	qal	ptca	sg	f	unknown	verb		T			nnnn	nnnn	ילדת		-	-	0	0	0	1	nnn	nnn	first		0
