book;zero_count;one_count;num_changes;larger_than_random_changes;num_alternations;larger_than_random_alternations;fullness;length;fullness_length_interaction
Samuel;168;15;26;6791.0;2;2810;0.08196721311475409;183.0;14.999999999999998
Ezekiel;109;3;6;0.0;0;532;0.026785714285714284;112.0;3.0
Joshua;75;4;8;0.0;0;1347;0.05063291139240506;79.0;4.0
Nehemiah;19;4;4;9256.0;0;3945;0.17391304347826086;23.0;4.0
Judges;49;4;8;0.0;0;1962;0.07547169811320754;53.0;4.0
Kings;193;3;6;0.0;0;267;0.015306122448979591;196.0;3.0
Zechariah;30;2;2;9368.0;0;601;0.0625;32.0;2.0
Ecclesiastes;20;23;16;9378.0;2;8036;0.5348837209302325;43.0;22.999999999999996
Numbers;129;2;4;0.0;0;146;0.015267175572519083;131.0;2.0
Ezra;7;5;5;5793.0;0;6137;0.4166666666666667;12.0;5.0
Esther;9;4;6;2535.0;0;5175;0.3076923076923077;13.0;4.0
Isaiah;87;9;14;8326.0;1;4436;0.09375;96.0;9.0
Jeremiah;150;24;32;9945.0;3;6522;0.13793103448275862;174.0;24.0
Proverbs;25;5;10;0.0;0;4605;0.16666666666666666;30.0;5.0
Psalms;47;7;11;7333.0;0;5185;0.12962962962962962;54.0;7.0
Job;18;2;4;0.0;0;932;0.1;20.0;2.0
Chronicles;92;33;44;8277.0;12;2072;0.264;125.0;33.0
