book;zero_count;one_count;num_changes;larger_than_random_changes;num_alternations;larger_than_random_alternations;fullness;length;fullness_length_interaction
Hosea;29;6;9;6742.0;0;5497;0.17142857142857143;35.0;6.0
Samuel;225;33;49;9837.0;0;9787;0.12790697674418605;258.0;33.0
Ezekiel;221;60;76;9984.0;4;9950;0.21352313167259787;281.0;60.0
Joshua;112;20;34;4114.0;6;1716;0.15151515151515152;132.0;20.0
Ruth;16;6;4;9876.0;0;6527;0.2727272727272727;22.0;6.0
Lamentations;14;8;8;7911.0;1;5650;0.36363636363636365;22.0;8.0
Amos;39;17;20;8327.0;0;9651;0.30357142857142855;56.0;17.0
Nehemiah;68;26;30;9623.0;3;8634;0.2765957446808511;94.0;26.0
Judges;119;35;49;8679.0;8;5533;0.22727272727272727;154.0;35.0
Kings;258;10;18;7066.0;0;2840;0.03731343283582089;268.0;10.0
Zechariah;84;13;18;9447.0;2;4068;0.13402061855670103;97.0;13.0
Micah;33;14;12;9917.0;1;8214;0.2978723404255319;47.0;14.0
Genesis;176;16;30;2508.0;2;2995;0.08333333333333333;192.0;16.0
Jonah;5;4;5;2068.0;1;2290;0.4444444444444444;9.0;4.0
Ecclesiastes;43;36;28;9931.0;5;8350;0.45569620253164556;79.0;36.0
Numbers;175;10;16;9227.0;1;3474;0.05405405405405406;185.0;10.0
Ezra;17;4;8;0.0;0;4102;0.19047619047619047;21.0;4.0
Malachi;23;3;3;9576.0;0;1957;0.11538461538461539;26.0;3.0
Esther;48;9;12;8944.0;0;6967;0.15789473684210525;57.0;9.0
Leviticus;74;5;8;7555.0;0;2203;0.06329113924050633;79.0;5.0
Isaiah;329;111;144;9957.0;23;8554;0.25227272727272726;440.0;111.0
Jeremiah;337;82;126;7943.0;27;1186;0.1957040572792363;419.0;82.0
Proverbs;186;101;116;9701.0;18;9509;0.3519163763066202;287.0;101.0
Zephaniah;18;9;14;1288.0;8;96;0.3333333333333333;27.0;9.0
Psalms;338;107;152;9051.0;25;7081;0.24044943820224718;445.0;107.0
Deuteronomy;205;14;23;9399.0;3;1450;0.0639269406392694;219.0;14.0
Nahum;20;5;8;3680.0;2;1114;0.2;25.0;5.0
Joel;11;3;5;3293.0;0;3337;0.21428571428571427;14.0;3.0
Job;86;17;34;0.0;6;1248;0.1650485436893204;103.0;17.0
Exodus;166;9;16;6554.0;2;491;0.05142857142857143;175.0;9.0
Daniel;33;6;10;3913.0;0;5177;0.15384615384615385;39.0;6.0
Habakkuk;11;5;8;1566.0;3;944;0.3125;16.0;5.0
Song_of_songs;20;14;13;8587.0;2;6555;0.4117647058823529;34.0;14.0
Chronicles;178;74;76;10000.0;2;10000;0.29365079365079366;252.0;74.0
