tf_id	book	chapter	verse	lex	lex_hebrew	g_cons	g_cons_hebrew	g_cons_no_suff	suff	vt	vs	gn	nu	ps	verb_ends_on_w	has_suffix	w_in_suffix	has_final_nun	hollow_root	hollow_vowel_letter	ayin_ayin_root	ayin_vowel_letter
424	Genesis	1	22	ML>[	מלא	ML>W	מלאו	ML>W		impv	-	m	pl	p2	1	0	0	0	0	0	0	0
564	Genesis	1	28	ML>[	מלא	ML>W	מלאו	ML>W		impv	-	m	pl	p2	1	0	0	0	0	0	0	0
569	Genesis	1	28	KBC[	כבשׁ	KBCH	כבשׁה	KBC	H	impv	-	m	pl	p2	0	1	0	0	0	0	0	0
675	Genesis	2	1	KLH[	כלה	JKLW	יכלו	JKLW		wayq	-	m	pl	p3	1	0	0	0	0	0	0	0
1192	Genesis	3	1	>KL[	אכל	T>KLW	תאכלו	T>KLW		impf	-	m	pl	p2	1	0	0	0	0	0	0	0
1224	Genesis	3	3	>KL[	אכל	T>KLW	תאכלו	T>KLW		impf	-	m	pl	p2	1	0	0	0	0	0	0	0
1231	Genesis	3	3	MWT[	מות	TMTWN	תמתון	TMTW		impf	-	m	pl	p2	1	0	0	1	1	0	0	0
1241	Genesis	3	4	MWT[	מות	TMTWN	תמתון	TMTW		impf	-	m	pl	p2	1	0	0	1	1	0	0	0
1303	Genesis	3	7	JD<[	ידע	JD<W	ידעו	JD<W		wayq	-	m	pl	p3	1	0	0	0	0	0	0	0
1312	Genesis	3	7	<FH[	עשׂה	J<FW	יעשׂו	J<FW		wayq	-	m	pl	p3	1	0	0	0	0	0	0	0
1316	Genesis	3	8	CM<[	שׁמע	JCM<W	ישׁמעו	JCM<W		wayq	-	m	pl	p3	1	0	0	0	0	0	0	0
1752	Genesis	4	5	NPL[	נפל	JPLW	יפלו	JPLW		wayq	-	m	pl	p3	1	0	0	0	0	0	0	0
1764	Genesis	4	6	NPL[	נפל	NPLW	נפלו	NPLW		perf	-	unknown	pl	p3	1	0	0	0	0	0	0	0
2618	Genesis	6	2	R>H[	ראה	JR>W	יראו	JR>W		wayq	-	m	pl	p3	1	0	0	0	0	0	0	0
2630	Genesis	6	2	LQX[	לקח	JQXW	יקחו	JQXW		wayq	-	m	pl	p3	1	0	0	0	0	0	0	0
2676	Genesis	6	4	BW>[	בוא	JB>W	יבאו	JB>W		impf	-	m	pl	p3	1	0	0	0	1	0	0	0
3004	Genesis	6	20	BW>[	בוא	JB>W	יבאו	JB>W		impf	-	m	pl	p3	1	0	0	0	1	0	0	0
3199	Genesis	7	9	BW>[	בוא	B>W	באו	B>W		perf	-	unknown	pl	p3	1	0	0	0	1	0	0	0
3262	Genesis	7	11	PTX[	פתח	NPTXW	נפתחו	NPTXW		perf	-	unknown	pl	p3	1	0	0	0	0	0	0	0
3337	Genesis	7	15	BW>[	בוא	JB>W	יבאו	JB>W		wayq	-	m	pl	p3	1	0	0	0	1	0	0	0
3362	Genesis	7	16	BW>[	בוא	B>W	באו	B>W		perf	-	unknown	pl	p3	1	0	0	0	1	0	0	0
3386	Genesis	7	17	NF>[	נשׂא	JF>W	ישׂאו	JF>W		wayq	-	m	pl	p3	1	0	0	0	0	0	0	0
3424	Genesis	7	19	KSH[	כסה	JKSW	יכסו	JKSW		wayq	-	m	pl	p3	1	0	0	0	0	0	0	0
3445	Genesis	7	20	KSH[	כסה	JKSW	יכסו	JKSW		wayq	-	m	pl	p3	1	0	0	0	0	0	0	0
3495	Genesis	7	22	MWT[	מות	MTW	מתו	MTW		perf	-	unknown	pl	p3	1	0	0	0	1	0	0	0
3591	Genesis	8	3	CWB[	שׁוב	JCBW	ישׁבו	JCBW		wayq	-	m	pl	p3	1	0	0	0	1	0	0	0
3650	Genesis	8	5	R>H[	ראה	NR>W	נראו	NR>W		perf	-	unknown	pl	p3	1	0	0	0	0	0	0	0
3939	Genesis	8	19	JY>[	יצא	JY>W	יצאו	JY>W		perf	-	unknown	pl	p3	1	0	0	0	0	0	0	0
4051	Genesis	9	1	ML>[	מלא	ML>W	מלאו	ML>W		impv	-	m	pl	p2	1	0	0	0	0	0	0	0
4085	Genesis	9	2	NTN[	נתן	NTNW	נתנו	NTNW		perf	-	unknown	pl	p3	1	0	0	0	0	0	0	0
4108	Genesis	9	4	>KL[	אכל	T>KLW	תאכלו	T>KLW		impf	-	m	pl	p2	1	0	0	0	0	0	0	0
4446	Genesis	9	23	FJM[	שׂים	JFJMW	ישׂימו	JFJMW		wayq	-	m	pl	p3	1	0	0	0	1	1	0	0
4454	Genesis	9	23	KSH[	כסה	JKSW	יכסו	JKSW		wayq	-	m	pl	p3	1	0	0	0	0	0	0	0
4465	Genesis	9	23	R>H[	ראה	R>W	ראו	R>W		perf	-	unknown	pl	p3	1	0	0	0	0	0	0	0
4725	Genesis	10	14	JY>[	יצא	JY>W	יצאו	JY>W		perf	-	unknown	pl	p3	1	0	0	0	0	0	0	0
4779	Genesis	10	18	PWY[	פוץ	NPYW	נפצו	NPYW		perf	-	unknown	pl	p3	1	0	0	0	1	0	0	0
4983	Genesis	11	2	MY>[	מצא	JMY>W	ימצאו	JMY>W		wayq	-	m	pl	p3	1	0	0	0	0	0	0	0
4992	Genesis	11	3	>MR[	אמר	J>MRW	יאמרו	J>MRW		wayq	-	m	pl	p3	1	0	0	0	0	0	0	0
5019	Genesis	11	4	>MR[	אמר	J>MRW	יאמרו	J>MRW		wayq	-	m	pl	p3	1	0	0	0	0	0	0	0
5055	Genesis	11	5	BNH[	בנה	BNW	בנו	BNW		perf	-	unknown	pl	p3	1	0	0	0	0	0	0	0
5093	Genesis	11	7	CM<[	שׁמע	JCM<W	ישׁמעו	JCM<W		impf	-	m	pl	p3	1	0	0	0	0	0	0	0
5454	Genesis	11	31	JY>[	יצא	JY>W	יצאו	JY>W		wayq	-	m	pl	p3	1	0	0	0	0	0	0	0
5464	Genesis	11	31	BW>[	בוא	JB>W	יבאו	JB>W		wayq	-	m	pl	p3	1	0	0	0	1	0	0	0
5525	Genesis	12	3	BRK[	ברך	NBRKW	נברכו	NBRKW		perf	-	unknown	pl	p3	1	0	0	0	0	0	0	0
5577	Genesis	12	5	<FH[	עשׂה	<FW	עשׂו	<FW		perf	-	unknown	pl	p3	1	0	0	0	0	0	0	0
5581	Genesis	12	5	JY>[	יצא	JY>W	יצאו	JY>W		wayq	-	m	pl	p3	1	0	0	0	0	0	0	0
5587	Genesis	12	5	BW>[	בוא	JB>W	יבאו	JB>W		wayq	-	m	pl	p3	1	0	0	0	1	0	0	0
5717	Genesis	12	12	R>H[	ראה	JR>W	יראו	JR>W		impf	-	m	pl	p3	1	0	0	0	0	0	0	0
5722	Genesis	12	12	>MR[	אמר	>MRW	אמרו	>MRW		perf	-	unknown	pl	p3	1	0	0	0	0	0	0	0
5726	Genesis	12	12	HRG[	הרג	HRGW	הרגו	HRGW		perf	-	unknown	pl	p3	1	0	0	0	0	0	0	0
5730	Genesis	12	12	XJH[	חיה	JXJW	יחיו	JXJW		impf	-	m	pl	p3	1	0	0	0	0	0	0	0
5752	Genesis	12	14	R>H[	ראה	JR>W	יראו	JR>W		wayq	-	m	pl	p3	1	0	0	0	0	0	0	0
5763	Genesis	12	15	R>H[	ראה	JR>W	יראו	JR>W		wayq	-	m	pl	p3	1	0	0	0	0	0	0	0
5768	Genesis	12	15	HLL[	הלל	JHLLW	יהללו	JHLLW		wayq	-	m	pl	p3	1	0	0	0	0	0	1	0
