	tf_id	book	chapter	verse	lex	lex_hebrew	g_cons	g_cons_hebrew	g_cons_no_suff	suff	vt	vs	gn	nu	ps	verb_ends_on_w	has_suffix	w_in_suffix	has_final_nun
405848	405848	Genesis	1	22	ML>[	מלא[	ML>W	מלאו	ML>W		impv	-	m	pl	p2	1	0	0	0
405987	405987	Genesis	1	28	ML>[	מלא[	ML>W	מלאו	ML>W		impv	-	m	pl	p2	1	0	0	0
405992	405992	Genesis	1	28	KBC[	כבשׁ[	KBCWH	כבשׁוה	KBCW	H	perf	-	unknown	pl	p3	1	1	0	0
406099	406099	Genesis	2	1	KLH[	כלה[	JKLW	יכלו	JKLW		impf	-	m	pl	p3	1	0	0	0
406617	406617	Genesis	3	1	>KL[	אכל[	T>KLW	תאכלו	T>KLW		impf	-	m	pl	p2	1	0	0	0
406651	406651	Genesis	3	3	>KL[	אכל[	T>KLW	תאכלו	T>KLW		impf	-	m	pl	p2	1	0	0	0
406658	406658	Genesis	3	3	MWT[	מות[	TMWTWN	תמותון	TMWTW		impf	-	m	pl	p2	1	0	0	1
406668	406668	Genesis	3	4	MWT[	מות[	TMWTWN	תמותון	TMWTW		impf	-	m	pl	p2	1	0	0	1
406723	406723	Genesis	3	6	>KL[	אכל[	J>KLW	יאכלו	J>KLW		impf	-	m	pl	p3	1	0	0	0
406729	406729	Genesis	3	7	JD<[	ידע[	JD<W	ידעו	JD<W		impf	-	m	pl	p3	1	0	0	0
406738	406738	Genesis	3	7	<FH[	עשׂה[	J<FW	יעשׂו	J<FW		impf	-	m	pl	p3	1	0	0	0
406742	406742	Genesis	3	8	CM<[	שׁמע[	JCM<W	ישׁמעו	JCM<W		impf	-	m	pl	p3	1	0	0	0
407175	407175	Genesis	4	5	NPL[	נפל[	JPLW	יפלו	JPLW		impf	-	m	pl	p3	1	0	0	0
407187	407187	Genesis	4	6	NPL[	נפל[	NPLW	נפלו	NPLW		perf	-	unknown	pl	p3	1	0	0	0
408030	408030	Genesis	6	2	R>H[	ראה[	JR>W	יראו	JR>W		impf	-	m	pl	p3	1	0	0	0
408042	408042	Genesis	6	2	LQX[	לקח[	JQXW	יקחו	JQXW		impf	-	m	pl	p3	1	0	0	0
