tf_id	scroll	book	chapter	verse	lex	g_cons	stem	pattern	pattern_g_cons	vs	vt	nu	gn	ps	sp	prs	nme	hloc	prefix_g_cons	rec_signs	cor_signs	heb_g_cons	other_vowel_ending	final_h	line	column	has_pronominal_suffix	has_prefix	has_hloc	has_nme	rec_signs_stem	cor_signs_stem	type	vowel_letter	has_vowel_letter
90	MT	Genesis	1	6	BDL[	MBDJL	MBDJL	CCCMC	CCCMC	hif	ptca	sg	m	unknown	verb					nnnnn	nnnnn	מבדיל		noH	-	-	0	0	0	0	nnnnn	nnnnn	last	J	1
182	MT	Genesis	1	11	DC>[	TDC>	TDC>	CCCM	CCCM	hif	impf	sg	f	p3	verb					nnnn	nnnn	תדשא		noH	-	-	0	0	0	0	nnnn	nnnn	last		0
187	MT	Genesis	1	11	ZR<[	MZRJ<	MZRJ<	CCCMC	CCCMC	hif	ptca	sg	m	unknown	verb					nnnnn	nnnnn	מזריע		noH	-	-	0	0	0	0	nnnnn	nnnnn	last	J	1
210	MT	Genesis	1	12	ZR<[	MZRJ<	MZRJ<	CCCMC	CCCMC	hif	ptca	sg	m	unknown	verb					nnnnn	nnnnn	מזריע		noH	-	-	0	0	0	0	nnnnn	nnnnn	last	J	1
246	MT	Genesis	1	14	BDL[	HBDJL	HBDJL	CCCMC	CCCMC	hif	infc		unknown	unknown	verb				L	nnnnn	nnnnn	הבדיל		noH	-	-	0	1	0	0	nnnnn	nnnnn	last	J	1
275	MT	Genesis	1	15	>WR[	H>JR	H>JR	CCMC	CCMC	hif	infc		unknown	unknown	verb				L	nnnn	nnnn	האיר		noH	-	-	0	1	0	0	nnnn	nnnn	last	J	1
323	MT	Genesis	1	17	>WR[	H>JR	H>JR	CCMC	CCMC	hif	infc		unknown	unknown	verb				L	nnnn	nnnn	האיר		noH	-	-	0	1	0	0	nnnn	nnnn	last	J	1
339	MT	Genesis	1	18	BDL[	HBDJL	HBDJL	CCCMC	CCCMC	hif	infc		unknown	unknown	verb				WL	nnnnn	nnnnn	הבדיל		noH	-	-	0	1	0	0	nnnnn	nnnnn	last	J	1
764	MT	Genesis	2	5	MVR[	HMVJR	HMVJR	CCCMC	CCCMC	hif	perf	sg	m	p3	verb					nnnnn	nnnnn	המטיר		noH	-	-	0	0	0	0	nnnnn	nnnnn	last	J	1
1283	MT	Genesis	3	6	FKL[	HFKJL	HFKJL	CCCMC	CCCMC	hif	infc		unknown	unknown	verb				L	nnnnn	nnnnn	השכיל		noH	-	-	0	1	0	0	nnnnn	nnnnn	last	J	1
1373	MT	Genesis	3	11	NGD[	HGJD	HGJD	CCMC	CCMC	hif	perf	sg	m	p3	verb					nnnn	nnnn	הגיד		noH	-	-	0	0	0	0	nnnn	nnnn	last	J	1
1422	MT	Genesis	3	13	NC>=[	HCJ>NJ	HCJ>	CCMC	CCMCCM	hif	perf	sg	m	p3	verb	NJ				nnnnnn	nnnnnn	השיאני		noH	-	-	1	0	0	0	nnnn	nnnn	last	J	1
1534	MT	Genesis	3	18	YMX[	TYMJX	TYMJX	CCCMC	CCCMC	hif	impf	sg	f	p3	verb					nnnnn	nnnnn	תצמיח		noH	-	-	0	0	0	0	nnnnn	nnnnn	last	J	1
1721	MT	Genesis	4	4	BW>[	HBJ>	HBJ>	CCMM	CCMM	hif	perf	sg	m	p3	verb					nnnn	nnnn	הביא		noH	-	-	0	0	0	0	nnnn	nnnn	last	J	1
2056	MT	Genesis	4	23	>ZN[	H>ZNH	H>Z	CCC	CCCCM	hif	impv	pl	f	p2	verb					nnnnn	nnnnn	האזנה		noH	-	-	0	0	0	0	nnn	nnn	last		0
2604	MT	Genesis	6	1	XLL[	HXL	HXL	CCC	CCC	hif	perf	sg	m	p3	verb					nnn	nnn	החל		noH	-	-	0	0	0	0	nnn	nnn	last		0
2818	MT	Genesis	6	12	CXT[	HCXJT	HCXJT	CCCMC	CCCMC	hif	perf	sg	m	p3	verb					nnnnn	nnnnn	השחית		noH	-	-	0	0	0	0	nnnnn	nnnnn	last	J	1
2846	MT	Genesis	6	13	CXT[	MCXJTM	MCXJT	CCCMC	CCCMCC	hif	ptca	sg	m	unknown	verb	M				nnnnnn	nnnnnn	משחיתם		noH	-	-	1	0	0	0	nnnnn	nnnnn	last	J	1
2916	MT	Genesis	6	17	BW>[	MBJ>	MBJ>	CCMM	CCMM	hif	ptca	sg	m	unknown	verb					nnnn	nnnn	מביא		noH	-	-	0	0	0	0	nnnn	nnnn	last	J	1
2972	MT	Genesis	6	19	BW>[	TBJ>	TBJ>	CCMM	CCMM	hif	impf	sg	m	p2	verb					nnnn	nnnn	תביא		noH	-	-	0	0	0	0	nnnn	nnnn	last	J	1
3111	MT	Genesis	7	4	MVR[	MMVJR	MMVJR	CCCMC	CCCMC	hif	ptca	sg	m	unknown	verb					nnnnn	nnnnn	ממטיר		noH	-	-	0	0	0	0	nnnnn	nnnnn	last	J	1
4178	MT	Genesis	9	9	QWM[	MQJM	MQJM	CCMC	CCMC	hif	ptca	sg	m	unknown	verb					nnnn	nnnn	מקים		noH	-	-	0	0	0	0	nnnn	nnnn	last	J	1
4636	MT	Genesis	10	8	XLL[	HXL	HXL	CCC	CCC	hif	perf	sg	m	p3	verb					nnn	nnn	החל		noH	-	-	0	0	0	0	nnn	nnn	last		0
5072	MT	Genesis	11	6	XLL[	HXLM	HXL	CCC	CCCC	hif	infc		unknown	unknown	verb	M				nnnn	nnnn	החלם		noH	-	-	1	0	0	0	nnn	nnn	last		0
