tf_id	scroll	book	chapter	verse	lex	g_cons	stem	pattern	pattern_g_cons	vs	vt	nu	gn	ps	sp	prs	nme	hloc	prefix_g_cons	rec_signs	cor_signs	heb_g_cons
727	MT	Genesis	2	3	<FH[	<FWT	<F	CC	CCMC	qal	infc		unknown	unknown	verb		WT		L	nnnn	nnnn	עשות
739	MT	Genesis	2	4	<FH[	<FWT	<F	CC	CCMC	qal	infc		unknown	unknown	verb		WT			nnnn	nnnn	עשות
1002	MT	Genesis	2	18	HJH[	HJWT	HJ	CC	CCMC	qal	infc		unknown	unknown	verb		WT			nnnn	nnnn	היות
1035	MT	Genesis	2	19	R>H[	R>WT	R>	CC	CCMC	qal	infc		unknown	unknown	verb		WT		L	nnnn	nnnn	ראות
1796	MT	Genesis	4	8	HJH[	HJWTM	HJ	CC	CCMCC	qal	infc		unknown	unknown	verb	M	WT		B	nnnnn	nnnnn	היותם
3695	MT	Genesis	8	8	R>H[	R>WT	R>	CC	CCMC	qal	infc		unknown	unknown	verb		WT		L	nnnn	nnnn	ראות
4638	MT	Genesis	10	8	HJH[	HJWT	HJ	CC	CCMC	qal	infc		unknown	unknown	verb		WT		L	nnnn	nnnn	היות
5046	MT	Genesis	11	5	R>H[	R>T	R>	CC	CCC	qal	infc		unknown	unknown	verb		T		L	nnn	nnn	ראת
5074	MT	Genesis	11	6	<FH[	<FWT	<F	CC	CCMC	qal	infc		unknown	unknown	verb		WT		L	nnnn	nnnn	עשות
5084	MT	Genesis	11	6	<FH[	<FWT	<F	CC	CCMC	qal	infc		unknown	unknown	verb		WT		L	nnnn	nnnn	עשות
5111	MT	Genesis	11	8	BNH[	BNT	BN	CC	CCC	qal	infc		unknown	unknown	verb		T		L	nnn	nnn	בנת
6172	MT	Genesis	13	16	MNH[	MNWT	MN	CC	CCMC	qal	infc		unknown	unknown	verb		WT		L	nnnn	nnnn	מנות
7430	MT	Genesis	17	7	HJH[	HJWT	HJ	CC	CCMC	qal	infc		unknown	unknown	verb		WT		L	nnnn	nnnn	היות
7930	MT	Genesis	18	7	<FH[	<FWT	<F	CC	CCMC	qal	infc		unknown	unknown	verb		WT		L	nnnn	nnnn	עשות
8003	MT	Genesis	18	11	HJH[	HJWT	HJ	CC	CCMC	qal	infc		unknown	unknown	verb		WT		L	nnnn	nnnn	היות
8018	MT	Genesis	18	12	BLH[	BLTJ	BL	CC	CCCM	qal	infc		unknown	unknown	verb	J	T			nnnn	nnnn	בלתי
8135	MT	Genesis	18	19	<FH[	<FWT	<F	CC	CCMC	qal	infc		unknown	unknown	verb		WT		L	nnnn	nnnn	עשות
8232	MT	Genesis	18	25	<FH[	<FT	<F	CC	CCC	qal	infc		unknown	unknown	verb		T		M	nnn	nnn	עשת
8918	MT	Genesis	19	22	<FH[	<FWT	<F	CC	CCMC	qal	infc		unknown	unknown	verb		WT		L	nnnn	nnnn	עשות
10769	MT	Genesis	23	2	BKH[	BKTH	BK	CC	CCCC	qal	infc		unknown	unknown	verb	H	T		WL	nnnn	nnnn	בכתה
11504	MT	Genesis	24	19	CTH[	CTT	CT	CC	CCC	qal	infc		unknown	unknown	verb		T		L	nnn	nnn	שתת
11548	MT	Genesis	24	22	CTH[	CTWT	CT	CC	CCMC	qal	infc		unknown	unknown	verb		WT		L	nnnn	nnnn	שתות
11674	MT	Genesis	24	30	R>H[	R>T	R>	CC	CCC	qal	infc		unknown	unknown	verb		T		K	nnn	nnn	ראת
12336	MT	Genesis	24	63	PNH[	PNWT	PN	CC	CCMC	qal	infc		unknown	unknown	verb		WT		L	nnnn	nnnn	פנות
13645	MT	Genesis	27	1	R>H[	R>T	R>	CC	CCC	qal	infc		unknown	unknown	verb		T		M	nnn	nnn	ראת
16261	MT	Genesis	30	38	CTH[	CTWT	CT	CC	CCMC	qal	infc		unknown	unknown	verb		WT		L	nnnn	nnnn	שתות
16271	MT	Genesis	30	38	CTH[	CTWT	CT	CC	CCMC	qal	infc		unknown	unknown	verb		WT		L	nnnn	nnnn	שתות
16894	MT	Genesis	31	28	<FH[	<FW	<FW	CCM	CCM	qal	infc		unknown	unknown	verb					nnn	nnn	עשו
16900	MT	Genesis	31	29	<FH[	<FWT	<F	CC	CCMC	qal	infc		unknown	unknown	verb		WT		L	nnnn	nnnn	עשות
17934	MT	Genesis	32	25	<LH[	<LWT	<L	CC	CCMC	qal	infc		unknown	unknown	verb		WT			nnnn	nnnn	עלות
18262	MT	Genesis	33	10	R>H[	R>T	R>	CC	CCC	qal	infc		unknown	unknown	verb		T		K	nnn	nnn	ראת
18462	MT	Genesis	34	1	R>H[	R>WT	R>	CC	CCMC	qal	infc		unknown	unknown	verb		WT		L	nnnn	nnnn	ראות
18689	MT	Genesis	34	14	<FH[	<FWT	<F	CC	CCMC	qal	infc		unknown	unknown	verb		WT		L	nnnn	nnnn	עשות
18769	MT	Genesis	34	19	<FH[	<FWT	<F	CC	CCMC	qal	infc		unknown	unknown	verb		WT		L	nnnn	nnnn	עשות
18845	MT	Genesis	34	22	HJH[	HJWT	HJ	CC	CCMC	qal	infc		unknown	unknown	verb		WT		L	nnnn	nnnn	היות
18902	MT	Genesis	34	25	HJH[	HJWTM	HJ	CC	CCMCC	qal	infc		unknown	unknown	verb	M	WT		B	nnnnn	nnnnn	היותם
19933	MT	Genesis	36	24	R<H[	R<TW	R<	CC	CCCM	qal	infc		unknown	unknown	verb	W	T		B	nnnn	nnnn	רעתו
20393	MT	Genesis	37	12	R<H[	R<WT	R<	CC	CCMC	qal	infc		unknown	unknown	verb		WT		L	nnnn	nnnn	רעות
21649	MT	Genesis	39	10	HJH[	HJWT	HJ	CC	CCMC	qal	infc		unknown	unknown	verb		WT		L	nnnn	nnnn	היות
21663	MT	Genesis	39	11	<FH[	<FWT	<F	CC	CCMC	qal	infc		unknown	unknown	verb		WT		L	nnnn	nnnn	עשות
21698	MT	Genesis	39	13	R>H[	R>WTH	R>	CC	CCMCC	qal	infc		unknown	unknown	verb	H	WT		K	nnnnn	nnnnn	ראותה
22945	MT	Genesis	41	32	<FH[	<FTW	<F	CC	CCCM	qal	infc		unknown	unknown	verb	W	T		L	nnnn	nnnn	עשתו
23587	MT	Genesis	42	9	R>H[	R>WT	R>	CC	CCMC	qal	infc		unknown	unknown	verb		WT		L	nnnn	nnnn	ראות
23625	MT	Genesis	42	12	R>H[	R>WT	R>	CC	CCMC	qal	infc		unknown	unknown	verb		WT		L	nnnn	nnnn	ראות
24741	MT	Genesis	43	30	BKH[	BKWT	BK	CC	CCMC	qal	infc		unknown	unknown	verb		WT		L	nnnn	nnnn	בכות
24962	MT	Genesis	44	7	<FH[	<FWT	<F	CC	CCMC	qal	infc		unknown	unknown	verb		WT		M	nnnn	nnnn	עשות
25136	MT	Genesis	44	17	<FH[	<FWT	<F	CC	CCMC	qal	infc		unknown	unknown	verb		WT		M	nnnn	nnnn	עשות
25261	MT	Genesis	44	23	R>H[	R>WT	R>	CC	CCMC	qal	infc		unknown	unknown	verb		WT		L	nnnn	nnnn	ראות
25302	MT	Genesis	44	26	R>H[	R>WT	R>	CC	CCMC	qal	infc		unknown	unknown	verb		WT		L	nnnn	nnnn	ראות
25378	MT	Genesis	44	31	R>H[	R>WTW	R>	CC	CCMCM	qal	infc		unknown	unknown	verb	W	WT		K	nnnnn	nnnnn	ראותו
25510	MT	Genesis	45	3	<NH[	<NWT	<N	CC	CCMC	qal	infc		unknown	unknown	verb		WT		L	nnnn	nnnn	ענות
26469	MT	Genesis	46	30	R>H[	R>WTJ	R>	CC	CCMCM	qal	infc		unknown	unknown	verb	J	WT			nnnnn	nnnnn	ראותי
27490	MT	Genesis	48	10	R>H[	R>WT	R>	CC	CCMC	qal	infc		unknown	unknown	verb		WT		L	nnnn	nnnn	ראות
27506	MT	Genesis	48	11	R>H[	R>H	R>H	CCM	CCM	qal	infc		unknown	unknown	verb					nnn	nnn	ראה
28638	MT	Genesis	50	20	<FH[	<FH	<FH	CCM	CCM	qal	infc		unknown	unknown	verb					nnn	nnn	עשה
29702	MT	Exodus	3	4	R>H[	R>WT	R>	CC	CCMC	qal	infc		unknown	unknown	verb		WT		L	nnnn	nnnn	ראות
31063	MT	Exodus	5	13	HJH[	HJWT	HJ	CC	CCMC	qal	infc		unknown	unknown	verb		WT		B	nnnn	nnnn	היות
