tf_id	scroll	book	chapter	verse	lex	g_cons	stem	pattern	pattern_g_cons	vs	vt	nu	gn	ps	sp	prs	nme	hloc	prefix_g_cons	rec_signs	cor_signs	heb_g_cons
46	MT	Genesis	1	4	KJ	KJ	KJ	CM	CM	NA	NA			NA	conj					nn	nn	כי
177	MT	Genesis	1	10	KJ	KJ	KJ	CM	CM	NA	NA			NA	conj					nn	nn	כי
226	MT	Genesis	1	12	KJ	KJ	KJ	CM	CM	NA	NA			NA	conj					nn	nn	כי
350	MT	Genesis	1	18	KJ	KJ	KJ	CM	CM	NA	NA			NA	conj					nn	nn	כי
412	MT	Genesis	1	21	KJ	KJ	KJ	CM	CM	NA	NA			NA	conj					nn	nn	כי
493	MT	Genesis	1	25	KJ	KJ	KJ	CM	CM	NA	NA			NA	conj					nn	nn	כי
717	MT	Genesis	2	3	KJ	KJ	KJ	CM	CM	NA	NA			NA	conj					nn	nn	כי
762	MT	Genesis	2	5	KJ	KJ	KJ	CM	CM	NA	NA			NA	conj					nn	nn	כי
763	MT	Genesis	2	5	L>	L>	L>	CM	CM	NA	NA			NA	nega					nn	nn	לא
986	MT	Genesis	2	17	L>	L>	L>	CM	CM	NA	NA			NA	nega					nn	nn	לא
989	MT	Genesis	2	17	KJ	KJ	KJ	CM	CM	NA	NA			NA	conj					nn	nn	כי
1000	MT	Genesis	2	18	L>	L>	L>	CM	CM	NA	NA			NA	nega					nn	nn	לא
1073	MT	Genesis	2	20	L>	L>	L>	CM	CM	NA	NA			NA	nega					nn	nn	לא
1134	MT	Genesis	2	23	KJ	KJ	KJ	CM	CM	NA	NA			NA	conj					nn	nn	כי
1166	MT	Genesis	2	25	L>	L>	L>	CM	CM	NA	NA			NA	nega				W	nn	nn	לא
1188	MT	Genesis	3	1	KJ	KJ	KJ	CM	CM	NA	NA			NA	conj					nn	nn	כי
1191	MT	Genesis	3	1	L>	L>	L>	CM	CM	NA	NA			NA	nega					nn	nn	לא
1223	MT	Genesis	3	3	L>	L>	L>	CM	CM	NA	NA			NA	nega					nn	nn	לא
1227	MT	Genesis	3	3	L>	L>	L>	CM	CM	NA	NA			NA	nega				W	nn	nn	לא
1239	MT	Genesis	3	4	L>	L>	L>	CM	CM	NA	NA			NA	nega					nn	nn	לא
1242	MT	Genesis	3	5	KJ	KJ	KJ	CM	CM	NA	NA			NA	conj					nn	nn	כי
1245	MT	Genesis	3	5	KJ	KJ	KJ	CM	CM	NA	NA			NA	conj					nn	nn	כי
1265	MT	Genesis	3	6	KJ	KJ	KJ	CM	CM	NA	NA			NA	conj					nn	nn	כי
1272	MT	Genesis	3	6	KJ	KJ	KJ	CM	CM	NA	NA			NA	conj				W	nn	nn	כי
1304	MT	Genesis	3	7	KJ	KJ	KJ	CM	CM	NA	NA			NA	conj					nn	nn	כי
1365	MT	Genesis	3	10	KJ	KJ	KJ	CM	CM	NA	NA			NA	conj					nn	nn	כי
1372	MT	Genesis	3	11	MJ	MJ	MJ	CM	CM	NA	NA		unknown	NA	prin					nn	nn	מי
1375	MT	Genesis	3	11	KJ	KJ	KJ	CM	CM	NA	NA			NA	conj					nn	nn	כי
1432	MT	Genesis	3	14	KJ	KJ	KJ	CM	CM	NA	NA			NA	conj					nn	nn	כי
1502	MT	Genesis	3	17	KJ	KJ	KJ	CM	CM	NA	NA			NA	conj					nn	nn	כי
