tf_id	scroll	book	chapter	verse	lex	g_cons	stem	pattern	pattern_g_cons	vs	vt	nu	gn	ps	sp	prs	nme	hloc	prefix_g_cons	rec_signs	cor_signs	heb_g_cons
2052133	4Q88	Psalms	107	38	M<V[	JM<JV	M<JV	CCMC	CCCMC	hif	impf	sg	m	p3	verb					rrrrr	nnnnn	ימעיט
2051979	4Q88	Psalms	107	18	NG<[	JGJ<W	GJ<W	CMCM	CCMCM	hif	wayq	pl	m	p3	verb				W	rrrrr	nnnnn	יגיעו
2052191	4Q88	Psalms	109	6	PQD[	HPQD	PQD	CCC	CCCC	hif	impv	sg	m	NA	verb					rrrr	nnnn	הפקד
2051924	4Q88	Psalms	107	12	KN<[	JKN<	KN<	CCC	CCCC	hif	wayq	sg	m	p3	verb				W	rrrr	nnnn	יכנע
2052037	4Q88	Psalms	107	25	<MD[	J<MD	<MD	CCC	CCCC	hif	wayq	sg	m	p3	verb				W	rnnn	nnnn	יעמד
2052077	4Q88	Psalms	107	29	HPK[	JWPK	WPK	MCC	CMCC	hif	wayq	sg	m	p3	verb				W	nnnn	nnnn	יופך
2051836	4Q88	Psalms	22	17	R<<[	MR<JM	R<	CC	CCCMC	hif	ptca	pl	m	NA	verb		JM			nnrrr	nnnnn	מרעים
2051837	4Q88	Psalms	22	17	NQP[	HQJPNJ	QJP	CMC	CCMCCM	hif	perf	pl		p3	verb	NJ				nnnnnn	nnnnnn	הקיפני
2052221	4Q88	Psalms	109	25	NW<[	JNJ<WN	NJ<	CMC	CCMCMC	hif	impf	pl	m	p3	verb	N				rrrrrn	nnnnnn	יניעון
2051896	4Q88	Psalms	107	9	FB<[	HFBJ<	FBJ<	CCMC	CCCMC	hif	perf	sg	m	p3	verb					rrrrr	nnnnn	השביע
1696801	4Q249j	Leviticus	26	16	PQD[	HPQDTJ	PQD	CCC	CCCCCM	hif	perf	sg		p1	verb				W	rnnnnr	nnnnnn	הפקדתי
1696814	4Q249j	Leviticus	26	16	DWB[	MDJBT	DJB	CMC	CCMCC	hif	ptca	pl	f	NA	verb		T		W	rrrrr	nnnnn	מדיבת
1696791	4Q249j	Leviticus	26	15	PRR[	HPRKM	PR	CC	CCCCC	hif	infc	NA		NA	verb	KM			L	nnrrr	nnnnn	הפרכם
2083303	11Q5	Psalms	148	6	<MD[	J<MJDM	<MJD	CCMC	CCCMCC	hif	wayq	sg	m	p3	verb	M			W	nnnnnn	nnnnnn	יעמידם
2083053	11Q5	Psalms	105	29	MWT[	JMT	MT	CC	CCC	hif	wayq	sg	m	p3	verb				W	rrr	nnn	ימת
2083965	11Q5	Psalms	132	10	CWB[	TCB	CB	CC	CCC	hif	impf	sg	m	p2	verb					nnn	nnn	תשב
2082204	11Q5	Psalms	101	2	FKL[	>FKJLH	FKJLH	CCMCM	CCCMCM	hif	impf	sg		p1	verb					rrrrrr	nnnnnn	אשכילה
2084463	11Q5	Psalms	119	73	BJN[	HBJNNJ	BJN	CMC	CCMCCM	hif	impv	sg	m	NA	verb	NJ				rrrrrr	nnnnnn	הבינני
2084758	11Q5	Psalms	119	130	>WR[	H>R	>R	CC	CCC	hif	impv	sg	m	NA	verb				W	nnn	nnn	האר
2084759	11Q5	Psalms	119	130	BJN[	MBJN	BJN	CMC	CCMC	hif	ptca	sg	m	NA	verb					nnnn	nnnn	מבין
2084049	11Q5	Psalms	132	18	LBC[	>LBJC	LBJC	CCMC	CCCMC	hif	impf	sg		p1	verb					nnnnn	nnnnn	אלביש
2086041	11Q5	Psalms	138	2	GDL[	HGDLTH	GDLTH	CCCCM	CCCCCM	hif	perf	sg	m	p2	verb					nnnnnn	nnnnnn	הגדלתה
2084988	11Q5	Psalms	119	171	NB<[	TB<NH	B<	CC	CCCCM	hif	impf	pl	f	p3	verb					nnnnn	nnnnn	תבענה
2085930	11Q5	Psalms	139	18	QJY[	HQJYWTJ	QJYW	CMCM	CCMCMCM	hif	perf	sg		p1	verb					nnnnnnn	nnnnnnn	הקיצותי
2082591	11Q5	Psalms	118	27	>WR[	J>R	>R	CC	CCC	hif	wayq	sg	m	p3	verb				W	nnn	nnn	יאר
2082800	11Q5	Psalms	104	32	NBV[	MBJV	BJV	CMC	CCMC	hif	ptca	sg	m	NA	verb				H	rnnn	nnnn	מביט
2086390	11Q5	Psalms	142	7	QCB[	HQCJBH	QCJB	CCMC	CCCMCM	hif	impv	sg	m	NA	verb	H				nnnnnn	nnnnnn	הקשיבה
