tf_id	scroll	book	chapter	verse	lex	g_cons	stem	pattern	pattern_g_cons	vs	vt	nu	gn	ps	sp	prs	nme	hloc	prefix_g_cons	rec_signs	cor_signs	heb_g_cons	rec_signs_stem	cor_signs_stem	type	vowel_letter	has_vowel_letter
205	MT	Genesis	1	12	JY>[	TWY>	TWY>	CMCM	CMCM	hif	wayq	sg	f	p3	verb				W	nnnn	nnnn	תוצא	nnnn	nnnn	first	W	1
449	MT	Genesis	1	24	JY>[	TWY>	TWY>	CMCM	CMCM	hif	impf	sg	f	p3	verb					nnnn	nnnn	תוצא	nnnn	nnnn	first	W	1
1687	MT	Genesis	4	2	JSP[	TSP	TSP	CCC	CCC	hif	wayq	sg	f	p3	verb				W	nnn	nnn	תסף	nnn	nnn	first		0
1769	MT	Genesis	4	7	JVB[	TJVJB	TJVJB	CMCMC	CMCMC	hif	impf	sg	m	p2	verb					nnnnn	nnnnn	תיטיב	nnnnn	nnnnn	first	J	1
1774	MT	Genesis	4	7	JVB[	TJVJB	TJVJB	CMCMC	CMCMC	hif	impf	sg	m	p2	verb					nnnnn	nnnnn	תיטיב	nnnnn	nnnnn	first	J	1
1860	MT	Genesis	4	12	JSP[	TSP	TSP	CCC	CCC	hif	impf	sg	f	p3	verb					nnn	nnn	תסף	nnn	nnn	first		0
2157	MT	Genesis	5	3	JLD[	JWLD	JWLD	CMCC	CMCC	hif	wayq	sg	m	p3	verb				W	nnnn	nnnn	יולד	nnnn	nnnn	first	W	1
2172	MT	Genesis	5	4	JLD[	HWLJDW	HWLJD	CMCMC	CMCMCM	hif	infc		unknown	unknown	verb	W				nnnnnn	nnnnnn	הולידו	nnnnn	nnnnn	first	W	1
2179	MT	Genesis	5	4	JLD[	JWLD	JWLD	CMCC	CMCC	hif	wayq	sg	m	p3	verb				W	nnnn	nnnn	יולד	nnnn	nnnn	first	W	1
2207	MT	Genesis	5	6	JLD[	JWLD	JWLD	CMCC	CMCC	hif	wayq	sg	m	p3	verb				W	nnnn	nnnn	יולד	nnnn	nnnn	first	W	1
2214	MT	Genesis	5	7	JLD[	HWLJDW	HWLJD	CMCMC	CMCMCM	hif	infc		unknown	unknown	verb	W				nnnnnn	nnnnnn	הולידו	nnnnn	nnnnn	first	W	1
2224	MT	Genesis	5	7	JLD[	JWLD	JWLD	CMCC	CMCC	hif	wayq	sg	m	p3	verb				W	nnnn	nnnn	יולד	nnnn	nnnn	first	W	1
2248	MT	Genesis	5	9	JLD[	JWLD	JWLD	CMCC	CMCC	hif	wayq	sg	m	p3	verb				W	nnnn	nnnn	יולד	nnnn	nnnn	first	W	1
