tf_id	scroll	book	chapter	verse	lex	g_cons	stem	pattern	pattern_g_cons	vs	vt	nu	gn	ps	sp	prs	nme	hloc	prefix_g_cons	rec_signs	cor_signs	heb_g_cons	rec_signs_stem	cor_signs_stem	type	vowel_letter	has_vowel_letter
329	MT	Genesis	1	18	MCL[	MCL	MCL	CCC	CCC	qal	infc		unknown	unknown	verb				WL	nnn	nnn	משל	nnn	nnn	first		0
419	MT	Genesis	1	22	>MR[	>MR	>MR	MCC	MCC	qal	infc		unknown	unknown	verb				L	nnn	nnn	אמר	nnn	nnn	first		0
774	MT	Genesis	2	5	<BD[	<BD	<BD	CCC	CCC	qal	infc		unknown	unknown	verb				L	nnn	nnn	עבד	nnn	nnn	first		0
970	MT	Genesis	2	16	>MR[	>MR	>MR	MCC	MCC	qal	infc		unknown	unknown	verb				L	nnn	nnn	אמר	nnn	nnn	first		0
1386	MT	Genesis	3	11	>KL[	>KL	>KL	CCC	CCC	qal	infc		unknown	unknown	verb					nnn	nnn	אכל	nnn	nnn	first		0
1515	MT	Genesis	3	17	>MR[	>MR	>MR	MCC	MCC	qal	infc		unknown	unknown	verb				L	nnn	nnn	אמר	nnn	nnn	first		0
1630	MT	Genesis	3	23	<BD[	<BD	<BD	CCC	CCC	qal	infc		unknown	unknown	verb				L	nnn	nnn	עבד	nnn	nnn	first		0
1661	MT	Genesis	3	24	CMR[	CMR	CMR	CCC	CCC	qal	infc		unknown	unknown	verb				L	nnn	nnn	שמר	nnn	nnn	first		0
1879	MT	Genesis	4	13	NF>[	NF>	NF>	CCC	CCM	qal	infc		unknown	unknown	verb				M	nnn	nnn	נשא	nnn	nnn	first		0
2116	MT	Genesis	4	26	QR>[	QR>	QR>	CCC	CCM	qal	infc		unknown	unknown	verb				L	nnn	nnn	קרא	nnn	nnn	first		0
2126	MT	Genesis	5	1	BR>[	BR>	BR>	CCC	CCM	qal	infc		unknown	unknown	verb					nnn	nnn	ברא	nnn	nnn	first		0
2534	MT	Genesis	5	29	>MR[	>MR	>MR	MCC	MCC	qal	infc		unknown	unknown	verb				L	nnn	nnn	אמר	nnn	nnn	first		0
3858	MT	Genesis	8	15	>MR[	>MR	>MR	MCC	MCC	qal	infc		unknown	unknown	verb				L	nnn	nnn	אמר	nnn	nnn	first		0
4174	MT	Genesis	9	8	>MR[	>MR	>MR	MCC	MCC	qal	infc		unknown	unknown	verb				L	nnn	nnn	אמר	nnn	nnn	first		0
4333	MT	Genesis	9	16	ZKR[	ZKR	ZKR	CCC	CCC	qal	infc		unknown	unknown	verb				L	nnn	nnn	זכר	nnn	nnn	first		0
6684	MT	Genesis	15	1	>MR[	>MR	>MR	MCC	MCC	qal	infc		unknown	unknown	verb				L	nnn	nnn	אמר	nnn	nnn	first		0
6733	MT	Genesis	15	4	>MR[	>MR	>MR	MCC	MCC	qal	infc		unknown	unknown	verb				L	nnn	nnn	אמר	nnn	nnn	first		0
6763	MT	Genesis	15	5	SPR[	SPR	SPR	CCC	CCC	qal	infc		unknown	unknown	verb				L	nnn	nnn	ספר	nnn	nnn	first		0
6974	MT	Genesis	15	18	>MR[	>MR	>MR	MCC	MCC	qal	infc		unknown	unknown	verb				L	nnn	nnn	אמר	nnn	nnn	first		0
7372	MT	Genesis	17	3	>MR[	>MR	>MR	MCC	MCC	qal	infc		unknown	unknown	verb				L	nnn	nnn	אמר	nnn	nnn	first		0
8016	MT	Genesis	18	12	>MR[	>MR	>MR	MCC	MCC	qal	infc		unknown	unknown	verb				L	nnn	nnn	אמר	nnn	nnn	first		0
8035	MT	Genesis	18	13	>MR[	>MR	>MR	MCC	MCC	qal	infc		unknown	unknown	verb				L	nnn	nnn	אמר	nnn	nnn	first		0
8065	MT	Genesis	18	15	>MR[	>MR	>MR	MCC	MCC	qal	infc		unknown	unknown	verb				L	nnn	nnn	אמר	nnn	nnn	first		0
8624	MT	Genesis	19	9	CBR[	CBR	CBR	CCC	CCC	qal	infc		unknown	unknown	verb				L	nnn	nnn	שבר	nnn	nnn	first		0
8665	MT	Genesis	19	11	MY>[	MY>	MY>	CCC	CCM	qal	infc		unknown	unknown	verb				L	nnn	nnn	מצא	nnn	nnn	first		0
8756	MT	Genesis	19	15	>MR[	>MR	>MR	MCC	MCC	qal	infc		unknown	unknown	verb				L	nnn	nnn	אמר	nnn	nnn	first		0
9052	MT	Genesis	19	29	HPK[	HPK	HPK	CCC	CCC	qal	infc		unknown	unknown	verb				B	nnn	nnn	הפך	nnn	nnn	first		0
9370	MT	Genesis	20	6	NG<[	NG<	NG<	CCC	CCC	qal	infc		unknown	unknown	verb				L	nnn	nnn	נגע	nnn	nnn	first		0
