tf_id	scroll	book	chapter	verse	lex	g_cons	stem	pattern	pattern_g_cons	vs	vt	nu	gn	ps	sp	prs	nme	hloc	prefix_g_cons	rec_signs	cor_signs	heb_g_cons	other_vowel_ending	final_h	line	column	has_pronominal_suffix	has_prefix	has_hloc	has_nme	rec_signs_stem	cor_signs_stem	type	vowel_letter	has_vowel_letter
46	MT	Genesis	1	4	KJ	KJ	KJ	CM	CM	NA	NA			NA	conj					nn	nn	כי		noH	-	-	0	0	0	0	nn	nn	single	J	1
177	MT	Genesis	1	10	KJ	KJ	KJ	CM	CM	NA	NA			NA	conj					nn	nn	כי		noH	-	-	0	0	0	0	nn	nn	single	J	1
226	MT	Genesis	1	12	KJ	KJ	KJ	CM	CM	NA	NA			NA	conj					nn	nn	כי		noH	-	-	0	0	0	0	nn	nn	single	J	1
350	MT	Genesis	1	18	KJ	KJ	KJ	CM	CM	NA	NA			NA	conj					nn	nn	כי		noH	-	-	0	0	0	0	nn	nn	single	J	1
412	MT	Genesis	1	21	KJ	KJ	KJ	CM	CM	NA	NA			NA	conj					nn	nn	כי		noH	-	-	0	0	0	0	nn	nn	single	J	1
493	MT	Genesis	1	25	KJ	KJ	KJ	CM	CM	NA	NA			NA	conj					nn	nn	כי		noH	-	-	0	0	0	0	nn	nn	single	J	1
717	MT	Genesis	2	3	KJ	KJ	KJ	CM	CM	NA	NA			NA	conj					nn	nn	כי		noH	-	-	0	0	0	0	nn	nn	single	J	1
762	MT	Genesis	2	5	KJ	KJ	KJ	CM	CM	NA	NA			NA	conj					nn	nn	כי		noH	-	-	0	0	0	0	nn	nn	single	J	1
763	MT	Genesis	2	5	L>	L>	L>	CM	CM	NA	NA			NA	nega					nn	nn	לא		noH	-	-	0	0	0	0	nn	nn	single	>	1
986	MT	Genesis	2	17	L>	L>	L>	CM	CM	NA	NA			NA	nega					nn	nn	לא		noH	-	-	0	0	0	0	nn	nn	single	>	1
989	MT	Genesis	2	17	KJ	KJ	KJ	CM	CM	NA	NA			NA	conj					nn	nn	כי		noH	-	-	0	0	0	0	nn	nn	single	J	1
1000	MT	Genesis	2	18	L>	L>	L>	CM	CM	NA	NA			NA	nega					nn	nn	לא		noH	-	-	0	0	0	0	nn	nn	single	>	1
1073	MT	Genesis	2	20	L>	L>	L>	CM	CM	NA	NA			NA	nega					nn	nn	לא		noH	-	-	0	0	0	0	nn	nn	single	>	1
1134	MT	Genesis	2	23	KJ	KJ	KJ	CM	CM	NA	NA			NA	conj					nn	nn	כי		noH	-	-	0	0	0	0	nn	nn	single	J	1
1166	MT	Genesis	2	25	L>	L>	L>	CM	CM	NA	NA			NA	nega				W	nn	nn	לא		noH	-	-	0	1	0	0	nn	nn	single	>	1
1188	MT	Genesis	3	1	KJ	KJ	KJ	CM	CM	NA	NA			NA	conj					nn	nn	כי		noH	-	-	0	0	0	0	nn	nn	single	J	1
1191	MT	Genesis	3	1	L>	L>	L>	CM	CM	NA	NA			NA	nega					nn	nn	לא		noH	-	-	0	0	0	0	nn	nn	single	>	1
