tf_id	scroll	book	chapter	verse	lex	g_cons	stem	pattern	pattern_g_cons	vs	vt	nu	gn	ps	sp	prs	nme	hloc	prefix_g_cons	rec_signs	cor_signs	heb_g_cons	vowel_count	other_vowel_ending	final_h	line	column	has_pronominal_suffix	has_prefix	has_hloc	has_nme	rec_signs_stem	cor_signs_stem	type	vowel_letter	has_vowel_letter
1435	MT	Genesis	3	14	>RR[	>RWR	>RWR	CCMC	CCMC	qal	ptcp	sg	m	unknown	verb					nnnn	nnnn	ארור	0		noH	-	-	0	0	0	0	nnnn	nnnn	last	W	1
1519	MT	Genesis	3	17	>RR[	>RWRH	>RWR	CCMC	CCMCM	qal	ptcp	sg	f	unknown	verb		H			nnnnn	nnnnn	ארורה	0		noH	-	-	0	0	0	1	nnnn	nnnn	last	W	1
1838	MT	Genesis	4	11	>RR[	>RWR	>RWR	CCMC	CCMC	qal	ptcp	sg	m	unknown	verb					nnnn	nnnn	ארור	0		noH	-	-	0	0	0	0	nnnn	nnnn	last	W	1
4482	MT	Genesis	9	25	>RR[	>RWR	>RWR	CCMC	CCMC	qal	ptcp	sg	m	unknown	verb					nnnn	nnnn	ארור	0		noH	-	-	0	0	0	0	nnnn	nnnn	last	W	1
4491	MT	Genesis	9	26	BRK[	BRWK	BRWK	CCMC	CCMC	qal	ptcp	sg	m	unknown	verb					nnnn	nnnn	ברוך	0		noH	-	-	0	0	0	0	nnnn	nnnn	last	W	1
6574	MT	Genesis	14	19	BRK[	BRWK	BRWK	CCMC	CCMC	qal	ptcp	sg	m	unknown	verb					nnnn	nnnn	ברוך	0		noH	-	-	0	0	0	0	nnnn	nnnn	last	W	1
6584	MT	Genesis	14	20	BRK[	BRWK	BRWK	CCMC	CCMC	qal	ptcp	sg	m	unknown	verb				W	nnnn	nnnn	ברוך	0		noH	-	-	0	1	0	0	nnnn	nnnn	last	W	1
9303	MT	Genesis	20	3	B<L[	B<LT	B<L	CCC	CCCC	qal	ptcp	sg	f	unknown	verb		T			nnnn	nnnn	בעלת	0		noH	-	-	0	0	0	1	nnn	nnn	last		0
11616	MT	Genesis	24	27	BRK[	BRWK	BRWK	CCMC	CCMC	qal	ptcp	sg	m	unknown	verb					nnnn	nnnn	ברוך	0		noH	-	-	0	0	0	0	nnnn	nnnn	last	W	1
11716	MT	Genesis	24	31	BRK[	BRWK	BRWK	CCMC	CCMC	qal	ptcp	sg	m	unknown	verb					nnnn	nnnn	ברוך	0		noH	-	-	0	0	0	0	nnnn	nnnn	last	W	1
13535	MT	Genesis	26	29	BRK[	BRWK	BRWK	CCMC	CCMC	qal	ptcp	sg	m	unknown	verb					nnnn	nnnn	ברוך	0		noH	-	-	0	0	0	0	nnnn	nnnn	last	W	1
14125	MT	Genesis	27	29	>RR[	>RWR	>RWR	CCMC	CCMC	qal	ptcp	sg	m	unknown	verb					nnnn	nnnn	ארור	0		noH	-	-	0	0	0	0	nnnn	nnnn	last	W	1
14128	MT	Genesis	27	29	BRK[	BRWK	BRWK	CCMC	CCMC	qal	ptcp	sg	m	unknown	verb					nnnn	nnnn	ברוך	0		noH	-	-	0	0	0	0	nnnn	nnnn	last	W	1
14221	MT	Genesis	27	33	BRK[	BRWK	BRWK	CCMC	CCMC	qal	ptcp	sg	m	unknown	verb					nnnn	nnnn	ברוך	0		noH	-	-	0	0	0	0	nnnn	nnnn	last	W	1
15494	MT	Genesis	29	31	FN>[	FNW>H	FNW>	CCMC	CCMCM	qal	ptcp	sg	f	unknown	verb		H			nnnnn	nnnnn	שנואה	0		noH	-	-	0	0	0	1	nnnn	nnnn	last	W	1
15536	MT	Genesis	29	33	FN>[	FNW>H	FNW>	CCMC	CCMCM	qal	ptcp	sg	f	unknown	verb		H			nnnnn	nnnnn	שנואה	0		noH	-	-	0	0	0	1	nnnn	nnnn	last	W	1
16106	MT	Genesis	30	32	VL>[	VLW>	VLW>	CCMC	CCMM	qal	ptcp	sg	m	unknown	verb				W	nnnn	nnnn	טלוא	0		noH	-	-	0	1	0	0	nnnn	nnnn	last	W	1
16115	MT	Genesis	30	32	VL>[	VLW>	VLW>	CCMC	CCMM	qal	ptcp	sg	m	unknown	verb				W	nnnn	nnnn	טלוא	0		noH	-	-	0	1	0	0	nnnn	nnnn	last	W	1
16142	MT	Genesis	30	33	VL>[	VLW>	VLW>	CCMC	CCMM	qal	ptcp	sg	m	unknown	verb				W	nnnn	nnnn	טלוא	0		noH	-	-	0	1	0	0	nnnn	nnnn	last	W	1
16151	MT	Genesis	30	33	GNB[	GNWB	GNWB	CCMC	CCMC	qal	ptcp	sg	m	unknown	verb					nnnn	nnnn	גנוב	0		noH	-	-	0	0	0	0	nnnn	nnnn	last	W	1
16176	MT	Genesis	30	35	VL>[	VL>JM	VL>	CCC	CCCMC	qal	ptcp	pl	m	unknown	verb		JM		WH	nnnnn	nnnnn	טלאים	0		noH	-	-	0	1	0	1	nnn	nnn	last		0
16186	MT	Genesis	30	35	VL>[	VL>T	VL>	CCC	CCCC	qal	ptcp	pl	f	unknown	verb		T		WH	nnnn	nnnn	טלאת	0		noH	-	-	0	1	0	1	nnn	nnn	last		0
16286	MT	Genesis	30	39	VL>[	VL>JM	VL>	CCC	CCCMC	qal	ptcp	pl	m	unknown	verb		JM		W	nnnnn	nnnnn	טלאים	0		noH	-	-	0	1	0	1	nnn	nnn	last		0
16359	MT	Genesis	30	42	QCR[	QCRJM	QCR	CCC	CCCMC	qal	ptcp	pl	m	unknown	verb		JM		WH	nnnnn	nnnnn	קשרים	0		noH	-	-	0	1	0	1	nnn	nnn	last		0
